!35ar -> 35cl, e- capture
!Q=-23.0489 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -0.366999     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -0.367000     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -0.367000     -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -0.367000      -83.272290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -0.366999      -50.313290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -0.366986      -37.843290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -0.366809      -27.905290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -0.366144      -22.797290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -0.362845      -17.456290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -0.330759      -12.770290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        0.088438       -8.456290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.416726       -3.800290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.237499        0.160710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -0.366989     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -0.366996     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -0.366997     -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -0.366998      -84.272290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -0.366998      -50.726290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -0.366985      -37.865290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -0.366808      -27.907290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -0.366144      -22.798290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -0.362845      -17.456290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -0.330759      -12.770290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00        0.088438       -8.456290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.416726       -3.800290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.237499        0.160710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -0.366912     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -0.366964     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -0.366973     -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -0.366980      -85.274290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -0.366983      -51.675290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -0.366977      -38.071290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -0.366802      -27.921290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -0.366136      -22.801290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -0.362845      -17.456290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -0.330675      -12.770290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00        0.088438       -8.456290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.416726       -3.800290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.237499        0.160710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -0.366594     -105.794290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -0.366681     -105.794290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -0.366744     -105.794290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -0.366800      -86.292290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -0.366833      -52.681290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -0.366846      -38.892290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -0.366725      -28.063290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -0.366072      -22.832290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -0.362786      -17.462290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -0.330675      -12.770290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00        0.088438       -8.456290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.416726       -3.800290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.237499        0.160710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -0.364873     -105.794290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -0.364907     -105.794290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -0.364983     -105.794290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -0.365193      -87.461290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -0.365386      -53.748290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -0.365500      -39.924290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -0.365571      -28.795290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -0.365226      -23.120290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -0.361141      -17.515290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -0.329994      -12.779290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00        0.089063       -8.457290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        2.416726       -3.800290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        5.237499        0.160710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00       -0.353043     -105.794290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00       -0.353075     -105.794290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00       -0.353011     -105.794290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00       -0.353138      -89.734290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00       -0.353263      -55.297290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00       -0.353448      -41.222290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00       -0.353631      -29.920290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00       -0.353692      -24.073290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00       -0.351858      -17.952290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -0.321715      -12.861290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00        0.094081       -8.466290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        2.416726       -3.800290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        5.237499        0.160710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00       -0.253775     -105.794290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00       -0.253775     -105.794290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00       -0.253545     -105.794290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00       -0.253545      -96.033290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00       -0.253315      -58.857290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00       -0.252854      -43.728290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00       -0.251693      -31.691290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00       -0.250286      -25.541290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00       -0.245490      -19.118290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00       -0.219744      -13.465290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00        0.151465       -8.553290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        2.419535       -3.803290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        5.237499        0.160710             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00        0.319170     -105.794290             -100.00  
