!39ca -> 39k, e- capture
!Q=-27.282 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -0.068999     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -0.069000     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -0.069000     -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -0.069000      -90.085290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -0.068999      -54.106290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -0.068988      -40.430290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -0.068831      -29.598290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -0.068251      -24.024290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -0.065548      -18.221290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -0.042175      -13.198290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        0.225671       -8.761290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.112491       -4.169290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.794496       -0.128290             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -0.068990     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -0.068997     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -0.068998     -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -0.068998      -91.085290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -0.068998      -54.519290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -0.068987      -40.451290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -0.068830      -29.599290             -100.00  
