!40ca -> 40sc, beta-decay
!Q=-34.8468 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00        0.608001     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00        0.605000     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00        0.589000     -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00        0.562000     -105.794290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00        0.545000     -105.794290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00        0.536008      -78.211290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00        0.529107      -54.270290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00        0.525469      -42.140290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00        0.519738      -29.778290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00        0.517430      -19.499290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        0.644637      -11.206290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.096508       -5.006290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.695094       -0.788290             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00        0.608007     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00        0.605002     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00        0.589002     -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00        0.562001     -105.794290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00        0.545001     -105.794290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00        0.536008      -78.233290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00        0.529107      -54.271290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00        0.525469      -42.140290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00        0.519738      -29.778290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00        0.517430      -19.499290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00        0.644637      -11.206290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.096508       -5.006290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.695094       -0.788290             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00        0.608052     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00        0.605021     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00        0.589016     -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00        0.562012     -105.794290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00        0.545010     -105.794290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00        0.536013      -78.439290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00        0.529111      -54.286290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00        0.525473      -42.143290             -100.00  
