!47v -> 47cr, beta-decay
!Q=-42.0011 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00        0.052001     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00        0.052000     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00        0.052000     -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00        0.056000     -100.968290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00        0.061001      -60.349290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00        0.063011      -44.818290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00        0.064148      -32.526290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00        0.064645      -26.234290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00        0.065706      -19.719290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00        0.080572      -14.143290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        0.285012       -9.294290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.443427       -4.130290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.336938        0.079710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00        0.052010     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00        0.052003     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00        0.052002     -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00        0.056002     -101.968290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00        0.061002      -60.762290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00        0.063012      -44.839290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00        0.064149      -32.528290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00        0.064646      -26.234290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00        0.065706      -19.719290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00        0.080572      -14.143290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00        0.285012       -9.294290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.443427       -4.130290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.336938        0.079710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00        0.052079     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00        0.052032     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00        0.052023     -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00        0.056017     -102.971290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00        0.061014      -61.711290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00        0.063019      -45.045290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00        0.064154      -32.542290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00        0.064651      -26.238290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00        0.065706      -19.720290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00        0.080572      -14.143290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00        0.285012       -9.294290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.443427       -4.130290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.336938        0.079710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00        0.052364     -105.794290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00        0.052282     -105.794290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00        0.052223     -105.794290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00        0.056170     -103.989290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00        0.061138      -62.717290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00        0.063123      -45.867290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00        0.064213      -32.684290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00        0.064699      -26.269290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00        0.065749      -19.725290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00        0.080627      -14.144290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00        0.285012       -9.294290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.443427       -4.130290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.336938        0.079710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00        0.053828     -105.794290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00        0.053794     -105.794290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00        0.053722     -105.794290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00        0.057514     -105.157290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00        0.062319      -63.783290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00        0.064197      -46.899290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00        0.065105      -33.417290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00        0.065334      -26.558290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00        0.066223      -19.779290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00        0.082016      -14.152290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00        0.285441       -9.295290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        2.443427       -4.130290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        5.336938        0.079710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00        0.063123     -105.794290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00        0.063123     -105.794290             -100.00  
