!48v -> 48ti, e- capture
!Q=-44.4728 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -6.533154     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -6.533732     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -6.533804     -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -6.456875      -61.496290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -5.399947      -38.837290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -4.656612      -30.129290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -4.059938      -22.933290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -3.776735      -19.080290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -3.469622      -14.932290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -2.839842      -11.209290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -1.407284       -7.616290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.810684       -3.492290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.037635        0.383710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -6.525987     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -6.531324     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -6.532047     -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -6.455755      -62.496290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -5.399863      -39.250290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -4.656592      -30.151290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -4.059919      -22.935290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -3.776735      -19.080290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -3.469622      -14.932290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -2.839842      -11.209290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -1.407284       -7.616290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.810684       -3.492290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.037635        0.383710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -6.473963     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -6.508304     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -6.514936     -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -6.444680      -63.499290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -5.398786      -40.198290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -4.656345      -30.357290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -4.059786      -22.949290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -3.776611      -19.083290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -3.469622      -14.932290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -2.839167      -11.209290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -1.407284       -7.616290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        1.810684       -3.492290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.037635        0.383710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -6.307274     -105.794290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -6.347317     -105.794290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -6.378805     -105.794290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -6.348505      -64.516290             -100.00  
