!54cr -> 54v, e- capture
!Q=-56.9313 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970       -7.298290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970       -7.298290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970       -7.281290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -96.917640       -7.002290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -58.032000       -6.601290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -41.264000       -6.388290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -27.922000       -6.216290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -21.096000       -6.139290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -14.106000       -6.082290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -8.331949       -6.037290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -3.682552       -5.124290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.172128       -2.749290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.847304        0.632710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970       -7.298290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970       -7.298290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970       -7.281290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -95.917964       -7.002290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -57.619000       -6.601290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -41.242000       -6.388290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -27.921000       -6.216290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -21.096000       -6.139290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -14.106000       -6.082290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -8.331949       -6.037290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -3.682552       -5.124290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.172128       -2.749290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.847304        0.632710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970       -7.298290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970       -7.298290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970       -7.281290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -94.915996       -7.002290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -56.671000       -6.601290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00      -41.036000       -6.388290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00      -27.906000       -6.216290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00      -21.093000       -6.139290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00      -14.106000       -6.082290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -8.331949       -6.037290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -3.682552       -5.124290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        1.172128       -2.749290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.847304        0.632710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00      -99.697970       -7.299290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00      -99.697970       -7.299290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00      -99.697970       -7.282290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00      -93.898000       -7.002290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00      -55.664000       -6.601290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00      -40.214000       -6.388290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00      -27.765000       -6.216290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00      -21.061000       -6.139290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00      -14.100000       -6.082290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -8.330949       -6.037290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -3.682552       -5.124290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        1.172128       -2.749290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.847304        0.632710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00      -99.697970       -7.303290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00      -99.697970       -7.303290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00      -99.697970       -7.285290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00      -92.729000       -7.004290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00      -54.598000       -6.602290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00      -39.183000       -6.389290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00      -27.031000       -6.216290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00      -20.772000       -6.139290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00      -14.047000       -6.083290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -8.322950       -6.038290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -3.681569       -5.124290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        1.172128       -2.749290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.847304        0.632710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00      -99.697970       -7.323290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00      -99.697970       -7.323290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00      -99.697970       -7.305290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00      -90.456000       -7.017290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00      -53.048000       -6.609290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00      -37.879000       -6.395290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00      -25.893000       -6.222290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00      -19.806000       -6.144290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00      -13.604000       -6.087290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -8.239959       -6.042290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00       -3.672720       -5.126290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        1.172128       -2.749290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        4.847304        0.632710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00      -99.697970       -7.441290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00      -99.697970       -7.441290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00      -99.697970       -7.418290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00      -84.136000       -7.087290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00      -49.369000       -6.655290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00      -35.216000       -6.436290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00      -23.991000       -6.260290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00      -18.240000       -6.181290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00      -12.391000       -6.121290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00       -7.628990       -6.072290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00       -3.585019       -5.136290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        1.175039       -2.752290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        4.847304        0.632710             -100.00  
