!58co -> 58fe, e- capture
!Q=-59.844 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -9.842953     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -9.858461     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -8.568975      -72.633290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -7.375275      -40.435290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -6.881064      -26.533290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -6.617819      -21.605290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -6.111914      -17.432290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -5.518272      -15.072290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -4.565558      -12.214290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -3.258774       -9.098290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -0.931416       -6.278290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.238758       -2.785290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.262693        0.667710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -9.758469     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -9.667297     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -8.534336      -73.633290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -7.368803      -41.434290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -6.878008      -26.946290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -6.616211      -21.627290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -6.110929      -17.434290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -5.517469      -15.072290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -4.565558      -12.214290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -3.258774       -9.098290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -0.931416       -6.278290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.238758       -2.785290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.262693        0.667710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -9.382878     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -9.012596     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -8.288157      -74.637290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -7.308889      -42.428290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -6.840596      -27.891290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -6.596915      -21.832290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -6.103470      -17.448290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -5.515060      -15.075290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -4.564604      -12.214290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -3.258774       -9.098290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -0.931416       -6.278290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.238758       -2.785290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.262693        0.667710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -8.849716     -105.794290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -8.117535     -105.794290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -7.575917      -75.668290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -6.951810      -43.371290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -6.577447      -28.865290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -6.381640      -22.642290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -6.027192      -17.587290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -5.489975      -15.106290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -4.559787      -12.218290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -3.257786       -9.098290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -0.931416       -6.278290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.238758       -2.785290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.262693        0.667710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -8.166979     -105.794290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -7.272940     -105.794290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -6.690273      -76.863290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -6.162584      -44.115290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -5.841607      -29.705290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -5.675334      -23.564290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -5.486964      -18.286290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -5.246228      -15.380290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -4.509980      -12.252290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -3.249881       -9.101290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -0.930431       -6.278290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        2.239738       -2.785290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        5.262693        0.667710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00       -7.311752     -105.794290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00       -6.247900     -105.794290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00       -5.667460      -78.882290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00       -5.202080      -45.461290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00       -4.879669      -30.639290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00       -4.711962      -24.417290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00       -4.527194      -19.180290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00       -4.384579      -16.179290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00       -4.094045      -12.482290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -3.169718       -9.125290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00       -0.921550       -6.286290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        2.239738       -2.785290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        5.262693        0.667710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00       -5.429984     -105.794290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00       -4.722997     -105.794290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00       -4.206981      -90.355290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00       -3.861867      -50.962290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00       -3.633755      -33.581290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00       -3.504689      -26.370290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00       -3.357610      -20.420290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00       -3.242540      -16.995290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00       -3.046376      -12.784290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00       -2.578875       -9.265290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00       -0.834690       -6.355290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        2.242678       -2.788290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        5.263691        0.667710             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00       -2.237000     -105.794290             -100.00  
       8.000000        8.000000    3.101814e-06            0.00            0.00       -2.214000     -105.794290             -100.00  
       8.000000        8.301030    3.100212e-06            0.00            0.00       -2.145000     -105.794290             -100.00  
