!58cr -> 58mn, beta-decay
!Q=-51.29 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970       -6.300290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970       -6.300290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970       -6.300290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -67.607000       -6.300290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -42.252000       -6.300290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -31.003000       -6.300290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -22.064000       -6.300290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -17.484000       -6.263290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -12.433000       -5.499290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -7.220998       -4.122290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -2.638944       -3.038290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.551363       -1.217290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.697188        1.583710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970       -6.300290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970       -6.300290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970       -6.300290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -66.607000       -6.300290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -41.839000       -6.300290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -30.982000       -6.300290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -22.063000       -6.300290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -17.483000       -6.263290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -12.433000       -5.499290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -7.220998       -4.122290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -2.638944       -3.038290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.551363       -1.217290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.697188        1.583710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970       -6.300290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970       -6.300290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970       -6.300290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -65.604000       -6.300290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -40.890000       -6.300290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00      -30.776000       -6.300290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00      -22.048000       -6.300290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00      -17.480000       -6.263290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00      -12.432000       -5.499290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -7.220998       -4.122290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -2.638944       -3.038290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        1.551363       -1.217290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.697188        1.583710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00      -99.697970       -6.301290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00      -99.697970       -6.301290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00      -99.697970       -6.301290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00      -64.586000       -6.300290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00      -39.884000       -6.300290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00      -29.954000       -6.300290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00      -21.907000       -6.300290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00      -17.449000       -6.263290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00      -12.427000       -5.499290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -7.219998       -4.122290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -2.638944       -3.038290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        1.551363       -1.217290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.697188        1.583710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00      -99.697970       -6.302290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00      -99.697970       -6.302290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00      -99.697970       -6.302290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00      -63.418000       -6.302290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00      -38.817000       -6.301290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00      -28.922000       -6.301290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00      -21.173000       -6.300290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00      -17.160000       -6.264290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00      -12.374000       -5.500290             -100.00  
