!60fe -> 60mn, e- capture
!Q=-61.4371 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970      -15.453290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970       -6.400290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970       -5.935290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -99.697970       -5.722290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -77.614000       -5.628290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -55.028000       -5.584290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -37.219000       -5.540290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -28.186000       -5.507290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -19.006000       -5.442290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00      -11.393937       -5.084290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -4.810834       -4.033290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.020868       -2.586290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.954688        0.477710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970      -15.453290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970       -6.400290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970       -5.935290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -99.697970       -5.722290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -77.201000       -5.628290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -55.007000       -5.584290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -37.218000       -5.540290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -28.186000       -5.507290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -19.006000       -5.442290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00      -11.393937       -5.084290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -4.810834       -4.033290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.020868       -2.586290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.954688        0.477710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970      -15.453290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970       -6.400290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970       -5.935290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -99.697970       -5.722290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -76.253000       -5.628290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00      -54.800000       -5.584290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00      -37.203000       -5.540290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00      -28.183000       -5.507290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00      -19.005000       -5.442290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00      -11.393937       -5.084290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -4.810834       -4.033290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        1.020868       -2.586290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.954688        0.477710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00      -99.697970      -15.453290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00      -99.697970       -6.400290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00      -99.697970       -5.935290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00      -99.697970       -5.722290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00      -75.247000       -5.628290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00      -53.979000       -5.584290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00      -37.061000       -5.540290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00      -28.151000       -5.507290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00      -19.000000       -5.442290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00      -11.392937       -5.084290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -4.810834       -4.033290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        1.020868       -2.586290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.954688        0.477710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00      -99.697970      -15.454290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00      -99.697970       -6.401290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00      -99.697970       -5.935290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00      -99.697970       -5.722290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00      -74.180000       -5.629290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00      -52.947000       -5.584290             -100.00  
