!23f -> 23ne, beta-decay
!Q=3.35 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -0.475000            -5.820290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -0.475000            -5.820290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -0.475000            -5.820290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -0.475000            -5.819290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -0.474000            -5.817290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -0.467998            -5.808290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -0.451966            -5.784290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -0.435836            -5.759290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -0.405978            -5.715290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -0.342949            -5.615290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -0.130996            -5.270290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.034967            -2.656290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.922043             0.807710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -0.475000            -5.820290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -0.475000            -5.820290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -0.475000            -5.820290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -0.475000            -5.819290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -0.474000            -5.817290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -0.467998            -5.808290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -0.451966            -5.784290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -0.435836            -5.759290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -0.405978            -5.715290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -0.342949            -5.615290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -0.130996            -5.270290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.034967            -2.656290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.922043             0.807710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -0.475000            -5.820290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -0.475000            -5.820290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -0.475000            -5.820290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -0.475000            -5.819290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -0.474000            -5.817290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -0.467999            -5.808290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -0.451967            -5.784290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -0.435838            -5.759290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -0.405978            -5.715290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -0.342949            -5.615290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -0.130996            -5.270290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.034967            -2.656290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.922043             0.807710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -0.475000            -5.820290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -0.475000            -5.820290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -0.475000            -5.820290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -0.475000            -5.820290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -0.474000            -5.817290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -0.468000            -5.808290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -0.451976            -5.784290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -0.435849            -5.759290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -0.405990            -5.715290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -0.342965            -5.615290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -0.130996            -5.270290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.034967            -2.656290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.922043             0.807710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -0.476000            -5.820290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -0.476000            -5.820290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -0.476000            -5.820290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -0.476000            -5.820290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -0.474000            -5.817290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -0.468000            -5.808290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -0.451996            -5.784290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -0.435922            -5.759290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -0.407104            -5.715290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -0.343092            -5.615290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -0.131996            -5.270290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        2.034967            -2.656290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.922043             0.807710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00       -0.478000            -5.825290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00       -0.479000            -5.825290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00       -0.479000            -5.825290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00       -0.478000            -5.825290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00       -0.477000            -5.822290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00       -0.471000            -5.813290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00       -0.455000            -5.788290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00       -0.437991            -5.763290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00       -0.408670            -5.719290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -0.345220            -5.619290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00       -0.133239            -5.273290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        2.034967            -2.656290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        4.922043             0.807710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00       -0.500000            -5.859290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00       -0.500000            -5.860290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00       -0.501000            -5.861290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00       -0.501000            -5.861290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00       -0.499000            -5.858290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00       -0.493000            -5.848290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00       -0.476000            -5.822290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00       -0.458000            -5.794290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00       -0.425979            -5.746290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00       -0.360500            -5.644290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00       -0.147922            -5.299290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        2.034011            -2.658290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        4.922043             0.807710             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00       -0.697000            -6.137290             -100.00  
       8.000000        8.000000    3.101814e-06            0.00            0.00       -0.695000            -6.133290             -100.00  
       8.000000        8.301030    3.100212e-06            0.00            0.00       -0.692000            -6.130290             -100.00  
       8.000000        8.602060    3.098610e-06            0.00            0.00       -0.691000            -6.128290             -100.00  
       8.000000        8.845098    3.093803e-06            0.00            0.00       -0.687000            -6.123290             -100.00  
       8.000000        9.000000    3.084190e-06            0.00            0.00       -0.678000            -6.107290             -100.00  
       8.000000        9.176091    3.064964e-06            0.00            0.00       -0.655000            -6.069290             -100.00  
       8.000000        9.301030    3.036125e-06            0.00            0.00       -0.629000            -6.028290             -100.00  
       8.000000        9.477121    2.954414e-06            0.00            0.00       -0.584000            -5.958290             -100.00  
       8.000000        9.698970    2.693259e-06            0.00            0.00       -0.489936            -5.812290             -100.00  
       8.000000       10.000000    1.573337e-06            0.00            0.00       -0.256853            -5.464290             -100.00  
       8.000000       10.477121   -4.838573e-07            0.00            0.00        2.023704            -2.672290             -100.00  
       8.000000       11.000000   -7.882709e-07            0.00            0.00        4.921071             0.806710             -100.00  
       9.000000        7.000000    7.483767e-06            0.00            0.00       -1.978000            -7.656290             -100.00  
       9.000000        8.000000    7.483767e-06            0.00            0.00       -1.987000            -7.669290             -100.00  
