!23mg -> 23na, e- capture
!Q=-5.4706 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -1.179997       -6.748290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -1.179999       -6.748290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -1.179999       -6.748290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -1.179999       -6.748290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -1.179998       -6.748290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -1.180957       -6.748290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -1.184390       -6.750290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -1.188192       -6.750290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -1.186580       -6.725290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -1.105245       -6.494290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -0.473447       -5.485290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.879473       -2.750290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.913623        0.780710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -1.179973       -6.748290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -1.179991       -6.748290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -1.179993       -6.748290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -1.179994       -6.748290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -1.179994       -6.748290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -1.180955       -6.748290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -1.184387       -6.750290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -1.188186       -6.750290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -1.186580       -6.725290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -1.105245       -6.494290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -0.473447       -5.485290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.879473       -2.750290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.913623        0.780710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -1.179782       -6.747290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -1.179907       -6.748290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -1.179928       -6.748290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -1.179943       -6.748290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -1.179950       -6.748290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -1.180928       -6.748290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -1.184367       -6.750290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -1.188166       -6.750290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -1.186580       -6.725290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -1.105245       -6.494290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -0.473447       -5.485290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        1.879473       -2.750290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.913623        0.780710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -1.178969       -6.745290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -1.179168       -6.746290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -1.179311       -6.746290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -1.179434       -6.746290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -1.179504       -6.747290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -1.180528       -6.747290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -1.184124       -6.750290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -1.187957       -6.750290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -1.186343       -6.724290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -1.105001       -6.494290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -0.473447       -5.485290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        1.879473       -2.750290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.913623        0.780710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -1.174127       -6.734290             -100.00  
