!24al -> 24mg, e- capture
!Q=-0.052 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -0.437999       -5.847290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -0.438000       -5.847290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -0.438000       -5.847290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -0.438000       -5.847290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -0.437999       -5.846290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -0.432981       -5.835290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -0.406742       -5.770290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -0.356950       -5.666290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -0.237098       -5.450290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -0.016328       -5.129290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        0.368023       -4.616290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.176688       -2.449290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.047100        0.936710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -0.437987       -5.847290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -0.437995       -5.847290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -0.437997       -5.847290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -0.437997       -5.847290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -0.437997       -5.846290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -0.432980       -5.835290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -0.406741       -5.770290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -0.356950       -5.666290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -0.237098       -5.450290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -0.016328       -5.129290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00        0.368023       -4.616290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.176688       -2.449290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.047100        0.936710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -0.437895       -5.847290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -0.437955       -5.847290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -0.437966       -5.847290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -0.437973       -5.847290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -0.437977       -5.846290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -0.432967       -5.835290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -0.406732       -5.770290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -0.356943       -5.666290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -0.237087       -5.450290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -0.016328       -5.129290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00        0.368023       -4.616290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.176688       -2.449290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.047100        0.936710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -0.437504       -5.846290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -0.437602       -5.846290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -0.437673       -5.846290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -0.437735       -5.846290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -0.437770       -5.845290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -0.432786       -5.834290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -0.406631       -5.770290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -0.356864       -5.666290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -0.237031       -5.450290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -0.016279       -5.129290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00        0.368023       -4.616290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.176688       -2.449290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.047100        0.936710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -0.435224       -5.841290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -0.435262       -5.841290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -0.435337       -5.842290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -0.435565       -5.842290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -0.435768       -5.841290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -0.430902       -5.831290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -0.405073       -5.767290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -0.355824       -5.664290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -0.235428       -5.449290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -0.015885       -5.128290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00        0.368267       -4.615290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        2.176688       -2.449290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        5.047100        0.936710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00       -0.418236       -5.808290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00       -0.418236       -5.808290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00       -0.418147       -5.807290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00       -0.418281       -5.808290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00       -0.418325       -5.806290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00       -0.413676       -5.796290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00       -0.388776       -5.737290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00       -0.341611       -5.640290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00       -0.226561       -5.435290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -0.011664       -5.122290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00        0.370229       -4.612290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        2.177086       -2.448290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        5.047100        0.936710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00       -0.275141       -5.548290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00       -0.275141       -5.548290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00       -0.274828       -5.548290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00       -0.274514       -5.547290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00       -0.274200       -5.546290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00       -0.270141       -5.538290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00       -0.250296       -5.499290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00       -0.213877       -5.435290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00       -0.123103       -5.288290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00        0.050645       -5.040290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00        0.393972       -4.581290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        2.178892       -2.446290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        5.048090        0.937710             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00        0.402686       -4.640290             -100.00  
