!24na -> 24mg, beta-decay
!Q=-8.4175 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -4.857000           -10.721290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -4.857000           -10.721290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -4.857000           -10.721290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -4.856000           -10.720290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -4.763998           -10.468290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -4.231977            -9.664290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -3.439896            -8.811290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -2.988659            -8.354290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -2.472168            -7.825290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -1.925294            -7.248290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -1.214561            -6.358290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.355286            -3.351290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.593670             0.447710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -4.857000           -10.721290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -4.857000           -10.721290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -4.857000           -10.721290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -4.856000           -10.720290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -4.763999           -10.468290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -4.231978            -9.664290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -3.439896            -8.811290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -2.988659            -8.354290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -2.472168            -7.825290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -1.925294            -7.248290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -1.214561            -6.358290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.355286            -3.351290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.593670             0.447710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -4.857000           -10.721290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -4.857000           -10.721290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -4.857000           -10.721290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -4.856000           -10.720290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -4.764000           -10.468290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -4.231986            -9.664290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -3.439899            -8.811290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -2.988661            -8.354290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -2.472168            -7.825290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -1.925294            -7.248290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -1.214561            -6.358290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        1.355286            -3.351290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.593670             0.447710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -4.858000           -10.723290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -4.858000           -10.723290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -4.858000           -10.722290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -4.857000           -10.721290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -4.764000           -10.469290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -4.232998            -9.664290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -3.439927            -8.812290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -2.988685            -8.354290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -2.472193            -7.825290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -1.925325            -7.248290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -1.214561            -6.358290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        1.355286            -3.351290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.593670             0.447710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -4.866000           -10.737290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -4.866000           -10.736290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -4.866000           -10.735290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -4.864000           -10.733290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -4.770000           -10.474290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -4.234000            -9.665290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -3.439987            -8.812290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -2.988837            -8.354290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -2.472397            -7.826290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -1.925571            -7.249290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -1.214896            -6.358290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        1.355286            -3.351290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.593670             0.447710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00       -4.920000           -10.821290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00       -4.920000           -10.821290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00       -4.920000           -10.820290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00       -4.918000           -10.816290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00       -4.811000           -10.519290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00       -4.248000            -9.676290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00       -3.444999            -8.818290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00       -2.991982            -8.359290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00       -2.475409            -7.831290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -1.928776            -7.254290             -100.00  
