!28p -> 28s, beta-decay
!Q=-7.1595 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -82.876000           -89.405290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -58.945000           -65.316290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -40.208000           -46.397290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -30.726000           -36.785290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -21.075000           -26.947290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00      -13.022000           -18.655290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -5.983198           -11.305290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        0.372814            -4.419290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.275252             0.092710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -83.289000           -89.818290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -58.967000           -65.338290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -40.210000           -46.399290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -30.726000           -36.785290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -21.075000           -26.947290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00      -13.022000           -18.655290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -5.983198           -11.305290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        0.372814            -4.419290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.275252             0.092710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -84.237000           -90.766290             -100.00  
