!29s -> 29p, e- capture
!Q=-3.16 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00        0.674000       -4.476290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00        0.674000       -4.476290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00        0.674000       -4.476290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00        0.674000       -4.476290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00        0.674000       -4.476290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00        0.674006       -4.476290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00        0.674080       -4.476290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00        0.674359       -4.475290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00        0.677137       -4.472290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00        0.708148       -4.411290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        1.320498       -3.583290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        3.063899       -1.495290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.597252        1.515710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00        0.674004       -4.476290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00        0.674001       -4.476290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00        0.674001       -4.476290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00        0.674001       -4.476290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00        0.674001       -4.476290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00        0.674006       -4.476290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00        0.674080       -4.476290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00        0.674359       -4.475290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00        0.677137       -4.472290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00        0.708148       -4.411290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00        1.320498       -3.583290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        3.063899       -1.495290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.597252        1.515710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00        0.674035       -4.476290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00        0.674015       -4.476290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00        0.674011       -4.476290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00        0.674008       -4.476290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00        0.674007       -4.476290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00        0.674010       -4.476290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00        0.674083       -4.476290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00        0.674361       -4.475290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00        0.677141       -4.472290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00        0.708148       -4.411290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00        1.320498       -3.583290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        3.063899       -1.495290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.597252        1.515710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00        0.674162       -4.476290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00        0.674128       -4.476290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00        0.674103       -4.476290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00        0.674082       -4.476290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00        0.674069       -4.476290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00        0.674064       -4.476290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00        0.674114       -4.476290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00        0.674388       -4.475290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00        0.677166       -4.471290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00        0.708180       -4.411290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00        1.320498       -3.583290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        3.063899       -1.495290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.597252        1.515710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00        0.674866       -4.475290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00        0.674852       -4.475290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00        0.674823       -4.475290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00        0.674742       -4.475290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00        0.674667       -4.475290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00        0.674624       -4.475290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00        0.674596       -4.475290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00        0.674742       -4.475290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00        0.677441       -4.471290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00        0.708439       -4.410290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00        1.320596       -3.583290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        3.063899       -1.495290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        5.597252        1.515710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00        0.679873       -4.467290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00        0.679873       -4.467290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00        0.679886       -4.467290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00        0.679846       -4.467290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00        0.679793       -4.467290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00        0.679727       -4.467290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00        0.679649       -4.467290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00        0.679623       -4.467290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00        0.681333       -4.464290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00        0.712186       -4.405290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00        1.321383       -3.582290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        3.064439       -1.495290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        5.597252        1.515710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00        0.725274       -4.396290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00        0.725385       -4.396290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00        0.725385       -4.396290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00        0.725385       -4.396290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00        0.725497       -4.396290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00        0.725721       -4.395290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00        0.726172       -4.394290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00        0.726741       -4.393290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00        0.729247       -4.388290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00        0.753630       -4.339290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00        1.330365       -3.569290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        3.066062       -1.492290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        5.597252        1.515710             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00        1.074289       -3.906290             -100.00  
       8.000000        8.000000    3.101814e-06            0.00            0.00        1.074289       -3.906290             -100.00  
       8.000000        8.301030    3.100212e-06            0.00            0.00        1.074289       -3.907290             -100.00  
       8.000000        8.602060    3.098610e-06            0.00            0.00        1.074289       -3.906290             -100.00  
       8.000000        8.845098    3.093803e-06            0.00            0.00        1.074892       -3.906290             -100.00  
       8.000000        9.000000    3.084190e-06            0.00            0.00        1.075495       -3.905290             -100.00  
       8.000000        9.176091    3.064964e-06            0.00            0.00        1.076703       -3.902290             -100.00  
       8.000000        9.301030    3.036125e-06            0.00            0.00        1.078518       -3.898290             -100.00  
       8.000000        9.477121    2.954414e-06            0.00            0.00        1.083774       -3.889290             -100.00  
       8.000000        9.698970    2.693259e-06            0.00            0.00        1.100518       -3.854290             -100.00  
       8.000000       10.000000    1.573337e-06            0.00            0.00        1.454768       -3.401290             -100.00  
       8.000000       10.477121   -4.838573e-07            0.00            0.00        3.082902       -1.468290             -100.00  
       8.000000       11.000000   -7.882709e-07            0.00            0.00        5.598247        1.516710             -100.00  
       9.000000        7.000000    7.483767e-06            0.00            0.00        2.073657       -2.734290             -100.00  
       9.000000        8.000000    7.483767e-06            0.00            0.00        2.073657       -2.734290             -100.00  
       9.000000        8.301030    7.483767e-06            0.00            0.00        2.073657       -2.734290             -100.00  
       9.000000        8.602060    7.483767e-06            0.00            0.00        2.073657       -2.734290             -100.00  
       9.000000        8.845098    7.474154e-06            0.00            0.00        2.072697       -2.735290             -100.00  
       9.000000        9.000000    7.474154e-06            0.00            0.00        2.073657       -2.733290             -100.00  
       9.000000        9.176091    7.466143e-06            0.00            0.00        2.075578       -2.732290             -100.00  
       9.000000        9.301030    7.450121e-06            0.00            0.00        2.075578       -2.730290             -100.00  
       9.000000        9.477121    7.410067e-06            0.00            0.00        2.077538       -2.726290             -100.00  
       9.000000        9.698970    7.291506e-06            0.00            0.00        2.078389       -2.716290             -100.00  
       9.000000       10.000000    6.724335e-06            0.00            0.00        2.145619       -2.581290             -100.00  
       9.000000       10.477121    2.340780e-06            0.00            0.00        3.259310       -1.234290             -100.00  
       9.000000       11.000000   -5.191052e-07            0.00            0.00        5.606217        1.525710             -100.00  
      10.000000        7.000000    1.699589e-05            0.00            0.00        3.394827       -1.235290             -100.00  
      10.000000        8.000000    1.699589e-05            0.00            0.00        3.394827       -1.235290             -100.00  
      10.000000        8.301030    1.699589e-05            0.00            0.00        3.394827       -1.235290             -100.00  
      10.000000        8.602060    1.699589e-05            0.00            0.00        3.394827       -1.235290             -100.00  
      10.000000        8.845098    1.699589e-05            0.00            0.00        3.394827       -1.235290             -100.00  
      10.000000        9.000000    1.698788e-05            0.00            0.00        3.394827       -1.235290             -100.00  
      10.000000        9.176091    1.698788e-05            0.00            0.00        3.394827       -1.234290             -100.00  
      10.000000        9.301030    1.697987e-05            0.00            0.00        3.395825       -1.234290             -100.00  
      10.000000        9.477121    1.696385e-05            0.00            0.00        3.395827       -1.232290             -100.00  
      10.000000        9.698970    1.690617e-05            0.00            0.00        3.386886       -1.237290             -100.00  
      10.000000       10.000000    1.664501e-05            0.00            0.00        3.359631       -1.226290             -100.00  
      10.000000       10.477121    1.386043e-05            0.00            0.00        4.092488       -0.283290             -100.00  
      10.000000       11.000000    2.164541e-06            0.00            0.00        5.686931        1.606710             -100.00  
      11.000000        7.000000    3.752137e-05            0.00            0.00        4.995021        0.514710             -100.00  
      11.000000        8.000000    3.752939e-05            0.00            0.00        4.995021        0.515710             -100.00  
      11.000000        8.301030    3.752137e-05            0.00            0.00        4.995021        0.514710             -100.00  
      11.000000        8.602060    3.752137e-05            0.00            0.00        4.995021        0.514710             -100.00  
      11.000000        8.845098    3.752939e-05            0.00            0.00        4.995021        0.515710             -100.00  
      11.000000        9.000000    3.752137e-05            0.00            0.00        4.995021        0.514710             -100.00  
      11.000000        9.176091    3.752137e-05            0.00            0.00        4.995021        0.515710             -100.00  
      11.000000        9.301030    3.752137e-05            0.00            0.00        4.996021        0.515710             -100.00  
      11.000000        9.477121    3.751336e-05            0.00            0.00        4.996021        0.515710             -100.00  
      11.000000        9.698970    3.748933e-05            0.00            0.00        4.989022        0.507710             -100.00  
      11.000000       10.000000    3.736596e-05            0.00            0.00        4.954092        0.476710             -100.00  
      11.000000       10.477121    3.605538e-05            0.00            0.00        5.386022        1.095710             -100.00  
      11.000000       11.000000    2.244970e-05            0.00            0.00        6.274610        2.210710             -100.00  
