!29si -> 29p, beta-decay
!Q=-21.8937 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -63.704000           -70.478290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -36.498000           -43.025290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -26.389000           -32.756290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -18.386999           -24.570290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -14.263996           -20.316290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -9.967979           -15.831290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -6.243889           -11.862290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -2.891069            -8.162290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.064314            -3.633290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.606112             0.439710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -64.704000           -71.478290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -36.911000           -43.437290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -26.411000           -32.777290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -18.387999           -24.571290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -14.264996           -20.316290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -9.967979           -15.831290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -6.243889           -11.862290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -2.891069            -8.162290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.064314            -3.633290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.606112             0.439710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -65.706000           -72.480290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -37.860000           -44.386290             -100.00  
