!30p -> 30si, e- capture
!Q=-20.2045 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -2.319996       -7.865290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -2.319999       -7.865290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -2.319999       -7.865290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -2.319999       -7.865290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -2.319997       -7.865290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -2.316947       -7.862290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -2.280260       -7.817290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -2.189880       -7.708290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -1.967831       -7.445290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -1.629446       -6.993290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -0.704670       -5.747290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.916319       -2.678290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.040229        0.908710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -2.319963       -7.865290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -2.319987       -7.865290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -2.319991       -7.865290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -2.319993       -7.865290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -2.319993       -7.865290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -2.316944       -7.862290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -2.280256       -7.817290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -2.189872       -7.708290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -1.967831       -7.445290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -1.629446       -6.993290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -0.704670       -5.747290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.916319       -2.678290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.040229        0.908710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -2.319705       -7.865290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -2.319876       -7.865290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -2.319907       -7.865290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -2.319927       -7.865290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -2.319937       -7.865290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -2.316910       -7.862290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -2.280232       -7.817290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -2.189851       -7.707290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -1.967831       -7.445290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -1.629446       -6.993290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -0.704670       -5.747290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        1.916319       -2.678290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.040229        0.908710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -2.318626       -7.862290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -2.318905       -7.863290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -2.319108       -7.863290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -2.319280       -7.864290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -2.319374       -7.864290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -2.316408       -7.860290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -2.279938       -7.816290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -2.189619       -7.707290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -1.967611       -7.445290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -1.629241       -6.993290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -0.704670       -5.747290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        1.916319       -2.678290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.040229        0.908710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -2.312518       -7.850290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -2.312619       -7.850290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -2.312819       -7.850290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -2.313446       -7.852290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -2.313950       -7.853290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -2.311220       -7.850290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -2.275479       -7.807290             -100.00  
