!33ar -> 33cl, e- capture
!Q=-9.385 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00        0.652001       -4.498290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00        0.652000       -4.498290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00        0.652000       -4.498290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00        0.652000       -4.498290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00        0.652000       -4.498290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00        0.652006       -4.498290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00        0.652084       -4.498290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00        0.652374       -4.498290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00        0.655196       -4.493290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00        0.670116       -4.456290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        0.853226       -4.129290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.681892       -1.902290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.354331        1.263710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00        0.652005       -4.498290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00        0.652002       -4.498290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00        0.652001       -4.498290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00        0.652001       -4.498290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00        0.652001       -4.498290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00        0.652006       -4.498290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00        0.652084       -4.498290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00        0.652375       -4.498290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00        0.655196       -4.493290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00        0.670116       -4.456290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00        0.853226       -4.129290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.681892       -1.902290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.354331        1.263710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00        0.652039       -4.498290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00        0.652016       -4.498290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00        0.652012       -4.498290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00        0.652009       -4.498290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00        0.652007       -4.498290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00        0.652010       -4.498290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00        0.652087       -4.498290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00        0.652377       -4.498290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00        0.655196       -4.493290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00        0.670148       -4.456290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00        0.853226       -4.129290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.681892       -1.902290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.354331        1.263710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00        0.652179       -4.498290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00        0.652141       -4.498290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00        0.652113       -4.498290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00        0.652088       -4.498290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00        0.652074       -4.498290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00        0.652068       -4.498290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00        0.652120       -4.498290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00        0.652405       -4.498290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00        0.655222       -4.493290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00        0.670148       -4.456290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00        0.853226       -4.129290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.681892       -1.902290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.354331        1.263710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00        0.652940       -4.497290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00        0.652925       -4.497290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00        0.652892       -4.497290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00        0.652799       -4.497290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00        0.652712       -4.497290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00        0.652660       -4.497290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00        0.652626       -4.497290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00        0.652775       -4.497290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00        0.655503       -4.493290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00        0.670407       -4.456290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00        0.853226       -4.128290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        2.681892       -1.902290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        5.354331        1.263710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00        0.658190       -4.489290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00        0.658190       -4.489290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00        0.658204       -4.489290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00        0.658148       -4.489290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00        0.658092       -4.489290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00        0.657995       -4.489290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00        0.657886       -4.489290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00        0.657846       -4.489290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00        0.659494       -4.486290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00        0.674147       -4.451290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00        0.854963       -4.126290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        2.681892       -1.901290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        5.354331        1.263710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00        0.704855       -4.415290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00        0.704855       -4.415290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00        0.704970       -4.415290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00        0.704970       -4.415290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00        0.705085       -4.415290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00        0.705200       -4.414290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00        0.705663       -4.413290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00        0.706247       -4.412290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00        0.708194       -4.407290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00        0.715382       -4.382290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00        0.873176       -4.098290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        2.683703       -1.899290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        5.354331        1.263710             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00        1.058339       -3.918290             -100.00  
       8.000000        8.000000    3.101814e-06            0.00            0.00        1.058339       -3.918290             -100.00  
       8.000000        8.301030    3.100212e-06            0.00            0.00        1.058339       -3.918290             -100.00  
       8.000000        8.602060    3.098610e-06            0.00            0.00        1.058339       -3.918290             -100.00  
       8.000000        8.845098    3.093803e-06            0.00            0.00        1.058339       -3.917290             -100.00  
       8.000000        9.000000    3.084190e-06            0.00            0.00        1.058947       -3.916290             -100.00  
       8.000000        9.176091    3.064964e-06            0.00            0.00        1.060774       -3.914290             -100.00  
       8.000000        9.301030    3.036125e-06            0.00            0.00        1.061994       -3.910290             -100.00  
       8.000000        9.477121    2.954414e-06            0.00            0.00        1.065443       -3.902290             -100.00  
       8.000000        9.698970    2.693259e-06            0.00            0.00        1.060703       -3.891290             -100.00  
       8.000000       10.000000    1.573337e-06            0.00            0.00        1.087968       -3.799290             -100.00  
       8.000000       10.477121   -4.838573e-07            0.00            0.00        2.702459       -1.875290             -100.00  
       8.000000       11.000000   -7.882709e-07            0.00            0.00        5.354331        1.264710             -100.00  
       9.000000        7.000000    7.483767e-06            0.00            0.00        2.063186       -2.745290             -100.00  
       9.000000        8.000000    7.483767e-06            0.00            0.00        2.063186       -2.745290             -100.00  
       9.000000        8.301030    7.483767e-06            0.00            0.00        2.063186       -2.745290             -100.00  
       9.000000        8.602060    7.483767e-06            0.00            0.00        2.063186       -2.745290             -100.00  
       9.000000        8.845098    7.474154e-06            0.00            0.00        2.062224       -2.745290             -100.00  
       9.000000        9.000000    7.474154e-06            0.00            0.00        2.064147       -2.744290             -100.00  
       9.000000        9.176091    7.466143e-06            0.00            0.00        2.065108       -2.742290             -100.00  
