!33cl -> 33ar, beta-decay
!Q=-21.003 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -84.102000           -90.630290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -59.580000           -65.950290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -40.372000           -46.559290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -30.649000           -36.707290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -20.759999           -26.631290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00      -12.568586           -18.200290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -5.986062           -11.282290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00       -0.017234            -4.758290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.088015            -0.108290             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -84.515000           -91.043290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -59.602000           -65.972290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -40.373000           -46.561290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -30.650000           -36.707290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -20.759999           -26.631290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00      -12.568586           -18.200290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -5.986062           -11.282290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00       -0.017234            -4.758290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.088015            -0.108290             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -85.463000           -91.992290             -100.00  
