!34cl -> 34s, e- capture
!Q=-24.4383 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -0.341998       -5.753290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -0.342000       -5.753290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -0.342000       -5.754290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -0.383000       -5.794290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -0.550999       -5.962290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -0.701981       -6.114290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -0.866732       -6.278290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -0.967781       -6.378290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -1.086432       -6.489290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -1.160478       -6.498290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -0.655993       -5.706290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.002277       -2.664290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.958390        0.826710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -0.341985       -5.753290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -0.341995       -5.753290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -0.341996       -5.754290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -0.382997       -5.794290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -0.550997       -5.962290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -0.701980       -6.114290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -0.866732       -6.278290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -0.967781       -6.378290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -1.086432       -6.489290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -1.160478       -6.498290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -0.655993       -5.706290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.002277       -2.664290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.958390        0.826710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -0.341884       -5.753290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -0.341952       -5.753290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -0.341965       -5.754290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -0.382973       -5.794290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -0.550977       -5.962290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -0.701968       -6.114290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -0.866722       -6.278290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -0.967772       -6.378290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -1.086414       -6.489290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -1.160478       -6.498290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -0.655993       -5.706290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.002277       -2.664290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.958390        0.826710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -0.341465       -5.752290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -0.341578       -5.752290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -0.341661       -5.753290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -0.382732       -5.794290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -0.550773       -5.962290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -0.701789       -6.113290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -0.866616       -6.277290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -0.967681       -6.378290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -1.086327       -6.488290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -1.160356       -6.498290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -0.655993       -5.706290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.002277       -2.664290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.958390        0.826710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -0.339166       -5.747290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -0.339211       -5.747290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -0.339312       -5.747290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -0.380581       -5.789290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -0.548814       -5.957290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -0.699945       -6.109290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -0.865001       -6.273290             -100.00  
