!34s -> 34cl, beta-decay
!Q=-29.9313 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -0.341998     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -0.342000     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -0.342000     -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -0.383000      -77.127290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -0.550999      -46.709290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -0.701981      -35.254290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -0.866732      -26.144290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -0.967781      -21.423290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -1.086432      -16.456290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -1.160478      -12.040290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -0.655993       -7.850290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.002277       -3.395290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.958390        0.378710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -0.341985     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -0.341995     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -0.341996     -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -0.382997      -78.127290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -0.550997      -47.122290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -0.701980      -35.276290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -0.866732      -26.146290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -0.967781      -21.423290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -1.086432      -16.457290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -1.160478      -12.040290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -0.655993       -7.850290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.002277       -3.395290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.958390        0.378710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -0.341884     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -0.341952     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -0.341965     -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -0.382973      -79.129290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -0.550977      -48.071290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -0.701968      -35.482290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -0.866722      -26.160290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -0.967772      -21.426290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -1.086414      -16.457290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -1.160478      -12.040290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -0.655993       -7.850290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.002277       -3.395290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.958390        0.378710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -0.341465     -105.794290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -0.341578     -105.794290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -0.341661     -105.794290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -0.382732      -80.147290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -0.550773      -49.077290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -0.701789      -36.304290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -0.866616      -26.302290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -0.967681      -21.458290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -1.086327      -16.462290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -1.160356      -12.040290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -0.655993       -7.850290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.002277       -3.395290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.958390        0.378710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -0.339166     -105.794290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -0.339211     -105.794290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -0.339312     -105.794290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -0.380581      -81.316290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -0.548814      -50.143290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -0.699945      -37.335290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -0.865001      -27.035290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -0.966479      -21.746290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -1.085361      -16.516290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -1.159370      -12.048290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -0.655296       -7.851290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        2.002277       -3.395290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.958390        0.378710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00       -0.323234     -105.794290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00       -0.323234     -105.794290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00       -0.323234     -105.794290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00       -0.364319      -83.588290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00       -0.532361      -51.693290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00       -0.683444      -38.638290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00       -0.848361      -28.173290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00       -0.950149      -22.713290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00       -1.071836      -16.958290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -1.148024      -12.127290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00       -0.649003       -7.859290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        2.002277       -3.395290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        4.958390        0.378710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00       -0.193878     -105.794290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00       -0.193878     -105.794290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00       -0.193878     -105.794290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00       -0.234589      -89.911290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00       -0.401135      -55.376290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00       -0.550376      -41.301290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00       -0.711203      -30.084290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00       -0.809243      -24.278290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00       -0.923140      -18.159290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00       -1.008685      -12.676290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00       -0.587121       -7.937290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        2.005102       -3.398290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        4.959390        0.378710             -100.00  
