!38k -> 38ar, e- capture
!Q=-28.802 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -2.764992     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -2.764997     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -2.749998     -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -2.354999      -83.291290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -1.815999      -50.349290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -1.550982      -37.802290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -1.313779      -27.793290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -1.174070      -22.597290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -1.010750      -17.140290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -0.841210      -12.354290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -0.445805       -8.146290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.706443       -3.920290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.592452       -0.106290             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -2.764919     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -2.764973     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -2.749981     -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -2.354993      -84.291290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -1.815997      -50.762290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -1.550981      -37.823290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -1.313778      -27.794290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -1.174068      -22.597290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -1.010750      -17.140290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -0.841210      -12.354290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -0.445805       -8.146290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.706443       -3.920290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.592452       -0.106290             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -2.764358     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -2.764735     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -2.749810     -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -2.354930      -85.294290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -1.815972      -51.710290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -1.550969      -38.029290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -1.313771      -27.809290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -1.174062      -22.600290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -1.010750      -17.140290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -0.841210      -12.355290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -0.445805       -8.146290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        1.706443       -3.920290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.592452       -0.106290             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -2.762033     -105.794290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -2.762669     -105.794290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -2.748185     -105.794290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -2.354311      -86.311290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -1.815721      -52.716290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -1.550795      -38.851290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -1.313683      -27.951290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -1.173992      -22.632290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -1.010677      -17.146290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -0.841130      -12.355290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -0.445805       -8.146290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        1.706443       -3.920290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.592452       -0.106290             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -2.749616     -105.794290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -2.749858     -105.794290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -2.735820     -105.794290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -2.348796      -87.480290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -1.813312      -53.783290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -1.549006      -39.883290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -1.312348      -28.684290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -1.173073      -22.920290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -1.010019      -17.199290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -0.840491      -12.364290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -0.445240       -8.147290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        1.706443       -3.920290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.592452       -0.106290             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00       -2.669074     -105.794290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00       -2.669074     -105.794290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00       -2.656232     -105.794290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00       -2.307900      -89.753290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00       -1.793128      -55.333290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00       -1.532980      -41.186290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00       -1.298546      -29.822290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00       -1.160561      -23.887290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00       -1.000546      -17.640290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -0.832751      -12.444290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00       -0.440130       -8.156290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        1.706443       -3.920290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        4.592452       -0.106290             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00       -2.206509     -105.794290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00       -2.205786     -105.794290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00       -2.200160     -105.794290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00       -2.014853      -96.076290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00       -1.628967      -59.016290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00       -1.399376      -43.849290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00       -1.180805      -31.733290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00       -1.048270      -25.449290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00       -0.891524      -18.831290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00       -0.736873      -13.029290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00       -0.388716       -8.242290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        1.710182       -3.923290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        4.592452       -0.106290             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00       -1.081896     -105.794290             -100.00  
       8.000000        8.000000    3.101814e-06            0.00            0.00       -1.081896     -105.794290             -100.00  
       8.000000        8.301030    3.100212e-06            0.00            0.00       -1.080601     -105.794290             -100.00  
       8.000000        8.602060    3.098610e-06            0.00            0.00       -1.026140     -105.794290             -100.00  
       8.000000        8.845098    3.093803e-06            0.00            0.00       -0.854719      -67.866290             -100.00  
       8.000000        9.000000    3.084190e-06            0.00            0.00       -0.713734      -49.990290             -100.00  
       8.000000        9.176091    3.064964e-06            0.00            0.00       -0.554079      -35.603290             -100.00  
       8.000000        9.301030    3.036125e-06            0.00            0.00       -0.447044      -28.211290             -100.00  
       8.000000        9.477121    2.954414e-06            0.00            0.00       -0.310469      -20.627290             -100.00  
       8.000000        9.698970    2.693259e-06            0.00            0.00       -0.162842      -14.299290             -100.00  
       8.000000       10.000000    1.573337e-06            0.00            0.00        0.056111       -8.871290             -100.00  
       8.000000       10.477121   -4.838573e-07            0.00            0.00        1.738477       -3.954290             -100.00  
       8.000000       11.000000   -7.882709e-07            0.00            0.00        4.593452       -0.107290             -100.00  
       9.000000        7.000000    7.483767e-06            0.00            0.00        0.493240     -105.794290             -100.00  
       9.000000        8.000000    7.483767e-06            0.00            0.00        0.493240     -105.794290             -100.00  
       9.000000        8.301030    7.483767e-06            0.00            0.00        0.493248     -105.794290             -100.00  
       9.000000        8.602060    7.483767e-06            0.00            0.00        0.512590     -105.794290             -100.00  
       9.000000        8.845098    7.474154e-06            0.00            0.00        0.578754      -85.870290             -100.00  
       9.000000        9.000000    7.474154e-06            0.00            0.00        0.649744      -62.416290             -100.00  
       9.000000        9.176091    7.466143e-06            0.00            0.00        0.741836      -43.946290             -100.00  
       9.000000        9.301030    7.450121e-06            0.00            0.00        0.811503      -34.561290             -100.00  
       9.000000        9.477121    7.410067e-06            0.00            0.00        0.909202      -24.984290             -100.00  
       9.000000        9.698970    7.291506e-06            0.00            0.00        1.030458      -17.023290             -100.00  
       9.000000       10.000000    6.724335e-06            0.00            0.00        1.195576      -10.444290             -100.00  
       9.000000       10.477121    2.340780e-06            0.00            0.00        2.011108       -4.247290             -100.00  
       9.000000       11.000000   -5.191052e-07            0.00            0.00        4.601446       -0.116290             -100.00  
      10.000000        7.000000    1.699589e-05            0.00            0.00        2.555002     -105.794290             -100.00  
      10.000000        8.000000    1.699589e-05            0.00            0.00        2.556002     -105.794290             -100.00  
      10.000000        8.301030    1.699589e-05            0.00            0.00        2.556002     -105.794290             -100.00  
      10.000000        8.602060    1.699589e-05            0.00            0.00        2.559005     -105.794290             -100.00  
      10.000000        8.845098    1.699589e-05            0.00            0.00        2.573018     -105.794290             -100.00  
      10.000000        9.000000    1.698788e-05            0.00            0.00        2.587032      -92.343290             -100.00  
      10.000000        9.176091    1.698788e-05            0.00            0.00        2.611052      -63.915290             -100.00  
      10.000000        9.301030    1.697987e-05            0.00            0.00        2.631068      -49.551290             -100.00  
      10.000000        9.477121    1.696385e-05            0.00            0.00        2.664091      -35.005290             -100.00  
      10.000000        9.698970    1.690617e-05            0.00            0.00        2.706114      -23.073290             -100.00  
      10.000000       10.000000    1.664501e-05            0.00            0.00        2.763123      -13.562290             -100.00  
      10.000000       10.477121    1.386043e-05            0.00            0.00        3.066371       -5.451290             -100.00  
      10.000000       11.000000    2.164541e-06            0.00            0.00        4.683390       -0.199290             -100.00  
      11.000000        7.000000    3.752137e-05            0.00            0.00        4.402000     -105.794290             -100.00  
      11.000000        8.000000    3.752939e-05            0.00            0.00        4.402000     -105.794290             -100.00  
      11.000000        8.301030    3.752137e-05            0.00            0.00        4.402000     -105.794290             -100.00  
      11.000000        8.602060    3.752137e-05            0.00            0.00        4.403000     -105.794290             -100.00  
      11.000000        8.845098    3.752939e-05            0.00            0.00        4.409000     -105.794290             -100.00  
      11.000000        9.000000    3.752137e-05            0.00            0.00        4.415000     -105.794290             -100.00  
      11.000000        9.176091    3.752137e-05            0.00            0.00        4.424001     -105.794290             -100.00  
      11.000000        9.301030    3.752137e-05            0.00            0.00        4.433001      -81.860290             -100.00  
      11.000000        9.477121    3.751336e-05            0.00            0.00        4.447001      -56.553290             -100.00  
      11.000000        9.698970    3.748933e-05            0.00            0.00        4.465002      -36.023290             -100.00  
      11.000000       10.000000    3.736596e-05            0.00            0.00        4.479002      -20.080290             -100.00  
      11.000000       10.477121    3.605538e-05            0.00            0.00        4.555045       -7.778290             -100.00  
      11.000000       11.000000    2.244970e-05            0.00            0.00        5.279125       -0.834290             -100.00  
