!40ar -> 40k, beta-decay
!Q=-35.0402 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -97.560415          -104.934290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -58.235000           -65.298290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -37.836000           -44.582290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -27.220987           -33.351290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -19.973867           -25.837290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -13.917076           -19.667290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -10.803547           -16.525290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -7.580651           -13.250290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -4.812255           -10.317290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -2.377051            -7.517290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        0.468139            -4.259290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.130000            -0.093290             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -98.548335          -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -59.236000           -66.299290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -38.836000           -45.582290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -27.559999           -33.589290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -19.982297           -25.840290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -13.917434           -19.667290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -10.803701           -16.525290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -7.580651           -13.250290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -4.812255           -10.317290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -2.377051            -7.517290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        0.468139            -4.259290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.130000            -0.093290             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.440509          -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -60.241000           -67.304290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -39.838000           -46.584290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -28.029524           -33.815290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00      -20.052589           -25.862290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00      -13.919905           -19.669290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00      -10.804160           -16.525290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -7.580855           -13.250290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -4.812255           -10.317290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -2.377051            -7.517290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        0.468139            -4.259290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.130000            -0.093290             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00      -61.296000           -68.359290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00      -40.856000           -47.602290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00      -28.140106           -33.851290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00      -20.176073           -25.897290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00      -13.941527           -19.678290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00      -10.808745           -16.528290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -7.581871           -13.251290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -4.812717           -10.318290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -2.377051            -7.517290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        0.468139            -4.259290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.130000            -0.093290             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00      -62.803000           -69.865290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00      -42.025000           -48.771290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00      -28.155783           -33.860290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00      -20.201514           -25.907290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00      -13.993902           -19.701290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00      -10.841972           -16.548290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -7.592897           -13.262290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -4.816396           -10.323290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -2.377972            -7.518290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        0.468139            -4.259290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.130000            -0.093290             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00      -66.988000           -74.051290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00      -44.297925           -51.043290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00      -28.182964           -33.901290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00      -20.228869           -25.945290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00      -14.026064           -19.738290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00      -10.891786           -16.593290             -100.00  
