!41ca -> 41k, e- capture
!Q=-35.1385 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -15.166000      -21.336290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -15.650000      -21.812290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -15.770000      -21.920290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -15.832000      -21.944290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -15.179864      -21.263290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -12.841043      -19.113290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -9.934502      -16.039290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -8.308996      -14.268290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -6.434234      -12.153290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -4.361418       -9.779290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -1.894856       -6.975290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.311268       -3.272290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.513710        0.427710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -14.186000      -20.356290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -14.651000      -20.812290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -14.770000      -20.920290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -14.832000      -20.944290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -14.766947      -20.850290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -12.819722      -19.093290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -9.933599      -16.038290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -8.308121      -14.268290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -6.434234      -12.153290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -4.361418       -9.779290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -1.894856       -6.975290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.311268       -3.272290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.513710        0.427710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -13.284000      -19.453290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -13.656000      -19.817290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -13.772000      -19.922290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -13.832000      -19.944290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -13.818994      -19.902290             -100.00  
