!41cl -> 41ar, beta-decay
!Q=-27.4 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970       -7.156290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970       -7.156290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970       -7.156290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -81.736000       -7.156290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -50.166000       -7.156290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -36.420000       -7.156290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -25.531000       -7.156290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -19.976000       -7.156290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -14.261995       -7.146290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -9.408531       -6.941290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -5.027862       -5.926290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        0.009401       -3.703290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.066278        0.214710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970       -7.156290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970       -7.156290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970       -7.156290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -80.736000       -7.156290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -49.753000       -7.156290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -36.399000       -7.156290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -25.529000       -7.156290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -19.975000       -7.156290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -14.261995       -7.146290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -9.408531       -6.941290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -5.027862       -5.926290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        0.009401       -3.703290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.066278        0.214710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970       -7.157290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970       -7.157290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970       -7.156290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -79.733000       -7.156290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -48.805000       -7.156290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00      -36.193000       -7.156290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00      -25.515000       -7.157290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00      -19.972000       -7.156290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00      -14.260995       -7.146290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -9.408531       -6.941290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -5.027862       -5.926290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        0.009401       -3.703290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.066278        0.214710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00      -99.697970       -7.157290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00      -99.697970       -7.157290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00      -99.697970       -7.157290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00      -78.715000       -7.157290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00      -47.799000       -7.157290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00      -35.371000       -7.157290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00      -25.373000       -7.157290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00      -19.941000       -7.156290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00      -14.255995       -7.146290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -9.408531       -6.941290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -5.027862       -5.926290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        0.009401       -3.703290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.066278        0.214710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00      -99.697970       -7.158290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00      -99.697970       -7.159290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00      -99.697970       -7.159290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00      -77.547000       -7.158290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00      -46.732000       -7.158290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00      -34.339000       -7.158290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00      -24.639000       -7.158290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00      -19.652000       -7.157290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00      -14.202995       -7.147290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -9.399581       -6.941290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -5.026950       -5.926290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        0.009401       -3.703290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.066278        0.214710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00      -99.697970       -7.170290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00      -99.697970       -7.170290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00      -99.697970       -7.170290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00      -75.274000       -7.170290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00      -45.182000       -7.169290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00      -33.036000       -7.168290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00      -23.501000       -7.167290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00      -18.685000       -7.166290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00      -13.759998       -7.155290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -9.316997       -6.948290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00       -5.018649       -5.928290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        0.009401       -3.704290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        4.066278        0.214710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00      -99.697970       -7.244290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00      -99.697970       -7.245290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00      -99.697970       -7.246290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00      -68.965000       -7.246290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00      -41.513000       -7.245290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00      -30.373000       -7.244290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00      -21.590000       -7.241290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00      -17.120000       -7.236290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00      -12.546000       -7.217290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00       -8.707505       -6.994290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00       -4.937243       -5.948290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        0.012111       -3.707290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        4.066278        0.214710             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00      -99.697970       -7.768290             -100.00  
       8.000000        8.000000    3.101814e-06            0.00            0.00      -99.697970       -7.776290             -100.00  
       8.000000        8.301030    3.100212e-06            0.00            0.00      -99.697970       -7.784290             -100.00  
       8.000000        8.602060    3.098610e-06            0.00            0.00      -53.526000       -7.785290             -100.00  
       8.000000        8.845098    3.093803e-06            0.00            0.00      -32.663000       -7.781290             -100.00  
       8.000000        9.000000    3.084190e-06            0.00            0.00      -24.161000       -7.774290             -100.00  
       8.000000        9.176091    3.064964e-06            0.00            0.00      -17.393000       -7.758290             -100.00  
       8.000000        9.301030    3.036125e-06            0.00            0.00      -13.918000       -7.737290             -100.00  
       8.000000        9.477121    2.954414e-06            0.00            0.00      -10.311000       -7.667290             -100.00  
       8.000000        9.698970    2.693259e-06            0.00            0.00       -7.196985       -7.239290             -100.00  
       8.000000       10.000000    1.573337e-06            0.00            0.00       -4.319006       -6.066290             -100.00  
