!44k -> 44ca, beta-decay
!Q=-35.807 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970       -8.760290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970       -8.760290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970       -8.759290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -81.079000       -8.747290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -49.431000       -8.647290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -35.543000       -8.516290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -24.399000       -8.355290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -18.664000       -8.265290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -12.715999       -8.136290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -7.709201       -7.647290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -3.662837       -6.657290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        0.681059       -4.080290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.432574        0.137710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970       -8.760290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970       -8.760290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970       -8.759290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -80.079000       -8.747290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -49.018000       -8.647290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -35.521000       -8.516290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -24.398000       -8.355290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -18.664000       -8.265290             -100.00  
