!45v -> 45ti, e- capture
!Q=-31.879 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -0.033999       -5.317290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -0.034000       -5.317290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -0.033000       -5.316290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -0.031000       -5.313290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -0.028999       -5.312290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -0.028989       -5.311290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -0.027855       -5.311290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -0.027365       -5.309290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -0.025328       -5.303290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -0.009984       -5.258290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        0.259705       -4.766290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.568956       -2.008290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.388479        1.279710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -0.033991       -5.317290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -0.033997       -5.317290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -0.032998       -5.316290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -0.030998       -5.313290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -0.028998       -5.312290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -0.028989       -5.311290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -0.027855       -5.311290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -0.027364       -5.309290             -100.00  
