!46cr -> 46v, e- capture
!Q=-29.461 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00        0.488001       -4.757290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00        0.488000       -4.757290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00        0.488000       -4.757290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00        0.488000       -4.757290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00        0.488000       -4.757290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00        0.488009       -4.757290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00        0.488115       -4.758290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00        0.486501       -4.759290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00        0.477893       -4.765290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00        0.461897       -4.759290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        0.554948       -4.477290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.636007       -1.956290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.381982        1.279710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00        0.488008       -4.757290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00        0.488003       -4.757290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00        0.488002       -4.757290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00        0.488001       -4.757290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00        0.488001       -4.757290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00        0.488009       -4.757290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00        0.488115       -4.758290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00        0.486501       -4.759290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00        0.477893       -4.765290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00        0.461897       -4.759290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00        0.554948       -4.477290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.636007       -1.956290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.381982        1.279710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00        0.488061       -4.757290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00        0.488025       -4.757290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00        0.488018       -4.757290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00        0.488013       -4.757290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00        0.488011       -4.757290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00        0.488015       -4.757290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00        0.488119       -4.758290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00        0.486505       -4.759290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00        0.477900       -4.765290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00        0.461897       -4.759290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00        0.554948       -4.477290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.636007       -1.956290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.381982        1.279710             -100.00  
