!47sc -> 47ca, e- capture
!Q=-44.3305 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -62.732000      -69.802290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -37.224000      -43.981290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -25.468000      -31.965290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -19.607000      -25.935290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -14.789000      -20.925290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -12.246000      -18.241290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -9.504972      -15.301290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -6.781936      -12.340290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -3.422037       -8.581290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.053671       -3.544290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.780484        0.674710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -61.731000      -68.801290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -36.225000      -42.981290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -25.055000      -31.552290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -19.585000      -25.913290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -14.788000      -20.923290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -12.246000      -18.240290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -9.504972      -15.301290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -6.781936      -12.340290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -3.422037       -8.581290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.053671       -3.544290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.780484        0.674710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -60.725000      -67.796290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -35.222000      -41.979290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -24.106000      -30.603290             -100.00  
