!48k -> 48ca, beta-decay
!Q=-32.225 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -0.888000            -6.204290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -0.888000            -6.204290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -0.888000            -6.204290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -0.875000            -6.187290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -0.758000            -6.044290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -0.627999            -5.892290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -0.501989            -5.751290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -0.440948            -5.684290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -0.385657            -5.625290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -0.348349            -5.583290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -0.305603            -5.491290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        0.943631            -3.746290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.466004             0.236710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -0.888000            -6.204290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -0.888000            -6.204290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -0.888000            -6.204290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -0.875000            -6.187290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -0.758000            -6.044290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -0.627999            -5.892290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -0.501989            -5.751290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -0.440948            -5.684290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -0.385657            -5.625290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -0.348349            -5.583290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -0.305603            -5.491290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        0.943631            -3.746290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.466004             0.236710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -0.888000            -6.204290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -0.888000            -6.204290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -0.888000            -6.204290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -0.875000            -6.187290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -0.758000            -6.044290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -0.628000            -5.892290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -0.501990            -5.751290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -0.440948            -5.684290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -0.385658            -5.625290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -0.348349            -5.583290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -0.305603            -5.491290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        0.943631            -3.746290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.466004             0.236710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -0.888000            -6.204290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -0.888000            -6.204290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -0.888000            -6.204290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -0.875000            -6.187290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -0.758000            -6.044290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -0.628000            -5.892290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -0.501993            -5.751290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -0.440952            -5.684290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -0.385661            -5.625290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -0.348355            -5.583290             -100.00  
