!49fe -> 49mn, e- capture
!Q=-24.4716 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00        0.959001       -4.178290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00        0.959000       -4.178290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00        0.959000       -4.178290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00        0.964000       -4.171290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00        0.976000       -4.156290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00        0.986005       -4.145290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00        0.995070       -4.133290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00        0.998300       -4.128290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00        0.993682       -4.128290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00        0.960774       -4.145290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        0.967996       -4.026290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.708491       -1.895290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.420567        1.319710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00        0.959005       -4.178290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00        0.959002       -4.178290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00        0.959001       -4.178290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00        0.964001       -4.171290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00        0.976001       -4.156290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00        0.986006       -4.145290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00        0.995070       -4.133290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00        0.998300       -4.128290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00        0.993682       -4.128290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00        0.960774       -4.145290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00        0.967996       -4.026290             -100.00  
