!50ti -> 50v, beta-decay
!Q=-51.4321 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -70.589386           -77.497290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -36.395830           -43.031290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -21.693334           -28.091290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -16.527208           -22.766290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -12.264604           -18.315290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -9.952118           -15.856290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -7.271059           -12.979290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -4.635821           -10.095290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -1.813704            -6.955290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.373376            -3.288290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.657249             0.478710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -71.558147           -78.437290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -37.385439           -44.020290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -22.105278           -28.503290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -16.548021           -22.787290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -12.265558           -18.317290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -9.952118           -15.856290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -7.271059           -12.979290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -4.635821           -10.095290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -1.813704            -6.955290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.373376            -3.288290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.657249             0.478710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -72.333853           -79.079290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -38.295274           -44.924290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -23.039994           -29.442290             -100.00  
