!51v -> 51cr, beta-decay
!Q=-52.1991 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -58.384000           -64.687290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -31.286000           -37.559290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -17.099000           -23.316290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -11.133999           -17.269290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -9.513900           -15.569290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -8.093910           -14.031290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -7.189349           -13.035290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -5.937834           -11.649290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -4.349647            -9.850290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -2.206301            -7.358290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.252745            -3.441290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.645689             0.478710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -59.386000           -65.688290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -32.287000           -38.560290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -18.099000           -24.316290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -11.546999           -17.682290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -9.535895           -15.590290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -8.095891           -14.033290             -100.00  
