!52mn -> 52fe, beta-decay
!Q=-50.7042 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -4.817475     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -4.817834     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -4.817880      -72.982290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -4.817911      -41.361290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -4.817680      -27.746290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -4.809005      -22.988290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -4.670745      -19.055290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -4.342559      -16.883290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -3.685933      -14.398290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -2.702744      -11.892290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -0.861838       -8.658290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.326975       -4.025290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.416923        0.223710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -4.813008     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -4.816348     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -4.816805      -73.983290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -4.817110      -42.360290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -4.817173      -28.159290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -4.808696      -23.009290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -4.670602      -19.057290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -4.342559      -16.884290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -3.685933      -14.398290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -2.702744      -11.892290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -0.861838       -8.658290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.326975       -4.025290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.416923        0.223710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -4.779759     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -4.801941     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -4.806254      -74.988290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -4.809182      -43.363290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -4.810720      -29.107290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -4.804914      -23.215290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -4.668413      -19.071290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -4.341564      -16.887290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -3.685353      -14.399290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -2.702744      -11.892290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -0.861838       -8.658290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.326975       -4.025290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.416923        0.223710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -4.664301     -105.794290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -4.693779     -105.794290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -4.716795      -76.043290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -4.737986      -44.381290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -4.750458      -30.113290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -4.751864      -24.037290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -4.644619      -19.213290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -4.331015      -16.918290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -3.682446      -14.404290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -2.701999      -11.893290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -0.861838       -8.658290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.326975       -4.025290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.416923        0.223710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -4.317939     -105.794290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -4.323394     -105.794290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -4.334878      -77.550290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -4.368442      -45.550290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -4.400017      -31.180290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -4.415515      -25.069290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -4.384767      -19.946290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -4.210447      -17.207290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -3.651006      -14.458290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -2.695775      -11.901290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -0.861270       -8.659290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        2.326975       -4.025290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        5.416923        0.223710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00       -3.640161     -105.794290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00       -3.640161     -105.794290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00       -3.639228      -81.735290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00       -3.640161      -47.822290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00       -3.640161      -32.730290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00       -3.639895      -26.372290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00       -3.622301      -21.084290             -100.00  
