!56fe -> 56co, beta-decay
!Q=-60.6041 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -61.462000           -68.225290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -35.422978           -41.930290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -25.756863           -32.095290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -18.018801           -24.153290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -13.908299           -19.918290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -9.523108           -15.317290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -5.578239           -10.988290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -1.951021            -7.041290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.554021            -3.109290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.692000             0.507710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -62.462000           -69.225290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -35.835942           -42.343290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -25.778753           -32.117290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -18.019694           -24.154290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -13.908299           -19.919290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -9.523108           -15.317290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -5.578239           -10.988290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -1.951021            -7.041290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.554021            -3.109290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.692000             0.507710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -63.464998           -70.227290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -36.784489           -43.291290             -100.00  
