!56sc -> 56ti, beta-decay
!Q=-22.64 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00        0.957000            -3.959290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00        0.888000            -4.028290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00        0.749000            -4.167290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00        0.622000            -4.294290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00        0.553000            -4.362290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00        0.523000            -4.392290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00        0.501001            -4.414290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00        0.490004            -4.424290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00        0.485025            -4.428290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00        0.568169            -4.328290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        1.203356            -3.643290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.163976            -2.585290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.596627             0.386710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00        0.957000            -3.959290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00        0.888000            -4.028290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00        0.749000            -4.167290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00        0.622000            -4.294290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00        0.553000            -4.362290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00        0.523000            -4.392290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00        0.501001            -4.414290             -100.00  
