!56ti -> 56sc, e- capture
!Q=-38.38 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970       -3.959290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970       -4.028290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970       -4.167290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -99.697970       -4.294290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -99.697970       -4.362290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -85.145000       -4.392290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -57.271000       -4.414290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -43.206000       -4.424290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -28.983000       -4.428290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00      -17.382384       -4.328290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -7.965817       -3.643290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00       -0.012999       -2.585290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.881057        0.386710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970       -3.959290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970       -4.028290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970       -4.167290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -99.697970       -4.294290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -99.697970       -4.362290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -85.123000       -4.392290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -57.269000       -4.414290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -43.206000       -4.424290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -28.983000       -4.428290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00      -17.382384       -4.328290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -7.965817       -3.643290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00       -0.012999       -2.585290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.881057        0.386710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970       -3.959290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970       -4.028290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970       -4.167290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -99.697970       -4.294290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -99.697970       -4.362290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00      -84.917000       -4.392290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00      -57.255000       -4.414290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00      -43.202000       -4.424290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00      -28.983000       -4.428290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00      -17.382384       -4.328290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -7.965817       -3.643290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00       -0.012999       -2.585290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.881057        0.386710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00      -99.697970       -3.959290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00      -99.697970       -4.028290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00      -99.697970       -4.167290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00      -99.697970       -4.294290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00      -99.697970       -4.362290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00      -84.095000       -4.392290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00      -57.113000       -4.414290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00      -43.171000       -4.424290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00      -28.977000       -4.428290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00      -17.381386       -4.328290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -7.965817       -3.643290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00       -0.012999       -2.585290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.881057        0.386710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00      -99.697970       -3.959290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00      -99.697970       -4.028290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00      -99.697970       -4.167290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00      -99.697970       -4.294290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00      -99.697970       -4.362290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00      -83.064000       -4.392290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00      -56.380000       -4.414290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00      -42.882000       -4.424290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00      -28.924000       -4.428290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00      -17.372398       -4.328290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -7.964858       -3.643290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00       -0.012999       -2.585290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.881057        0.386710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00      -99.697970       -3.960290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00      -99.697970       -4.028290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00      -99.697970       -4.167290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00      -99.697970       -4.294290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00      -99.697970       -4.363290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00      -81.761000       -4.392290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00      -55.242000       -4.414290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00      -41.916000       -4.424290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00      -28.481000       -4.428290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00      -17.290501       -4.328290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00       -7.956183       -3.643290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00       -0.012046       -2.586290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        4.881057        0.386710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00      -99.697970       -3.963290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00      -99.697970       -4.031290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00      -99.697970       -4.170290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00      -99.697970       -4.297290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00      -99.697970       -4.366290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00      -79.098000       -4.395290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00      -53.331000       -4.417290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00      -40.350000       -4.427290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00      -27.267000       -4.431290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00      -16.678877       -4.330290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00       -7.870297       -3.645290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00       -0.009187       -2.587290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        4.881057        0.386710             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00      -99.697970       -3.982290             -100.00  
       8.000000        8.000000    3.101814e-06            0.00            0.00      -99.697970       -4.052290             -100.00  
       8.000000        8.301030    3.100212e-06            0.00            0.00      -99.697970       -4.192290             -100.00  
       8.000000        8.602060    3.098610e-06            0.00            0.00      -99.697970       -4.319290             -100.00  
       8.000000        8.845098    3.093803e-06            0.00            0.00      -99.697970       -4.388290             -100.00  
       8.000000        9.000000    3.084190e-06            0.00            0.00      -72.868000       -4.417290             -100.00  
       8.000000        9.176091    3.064964e-06            0.00            0.00      -49.127000       -4.439290             -100.00  
       8.000000        9.301030    3.036125e-06            0.00            0.00      -37.143000       -4.448290             -100.00  
       8.000000        9.477121    2.954414e-06            0.00            0.00      -25.028000       -4.452290             -100.00  
       8.000000        9.698970    2.693259e-06            0.00            0.00      -15.172996       -4.349290             -100.00  
       8.000000       10.000000    1.573337e-06            0.00            0.00       -7.231548       -3.656290             -100.00  
       8.000000       10.477121   -4.838573e-07            0.00            0.00        0.020498       -2.598290             -100.00  
       8.000000       11.000000   -7.882709e-07            0.00            0.00        4.882050        0.385710             -100.00  
       9.000000        7.000000    7.483767e-06            0.00            0.00      -99.697970       -4.138290             -100.00  
       9.000000        8.000000    7.483767e-06            0.00            0.00      -99.697970       -4.207290             -100.00  
       9.000000        8.301030    7.483767e-06            0.00            0.00      -99.697970       -4.336290             -100.00  
       9.000000        8.602060    7.483767e-06            0.00            0.00      -99.697970       -4.468290             -100.00  
       9.000000        8.845098    7.474154e-06            0.00            0.00      -83.468000       -4.539290             -100.00  
       9.000000        9.000000    7.474154e-06            0.00            0.00      -59.058000       -4.570290             -100.00  
       9.000000        9.176091    7.466143e-06            0.00            0.00      -39.895000       -4.591290             -100.00  
       9.000000        9.301030    7.450121e-06            0.00            0.00      -30.200000       -4.600290             -100.00  
       9.000000        9.477121    7.410067e-06            0.00            0.00      -20.356000       -4.601290             -100.00  
       9.000000        9.698970    7.291506e-06            0.00            0.00      -12.280000       -4.483290             -100.00  
       9.000000       10.000000    6.724335e-06            0.00            0.00       -5.626914       -3.750290             -100.00  
       9.000000       10.477121    2.340780e-06            0.00            0.00        0.296508       -2.689290             -100.00  
       9.000000       11.000000   -5.191052e-07            0.00            0.00        4.890008        0.376710             -100.00  
      10.000000        7.000000    1.699589e-05            0.00            0.00      -99.697970       -5.287290             -100.00  
      10.000000        8.000000    1.699589e-05            0.00            0.00      -99.697970       -5.356290             -100.00  
      10.000000        8.301030    1.699589e-05            0.00            0.00      -99.697970       -5.500290             -100.00  
      10.000000        8.602060    1.699589e-05            0.00            0.00      -69.155000       -5.640290             -100.00  
      10.000000        8.845098    1.699589e-05            0.00            0.00      -40.702000       -5.715290             -100.00  
      10.000000        9.000000    1.698788e-05            0.00            0.00      -29.153000       -5.740290             -100.00  
      10.000000        9.176091    1.698788e-05            0.00            0.00      -19.948000       -5.752290             -100.00  
      10.000000        9.301030    1.697987e-05            0.00            0.00      -15.232000       -5.749290             -100.00  
      10.000000        9.477121    1.696385e-05            0.00            0.00      -10.357000       -5.718290             -100.00  
      10.000000        9.698970    1.690617e-05            0.00            0.00       -6.248000       -5.409290             -100.00  
      10.000000       10.000000    1.664501e-05            0.00            0.00       -2.520000       -4.384290             -100.00  
      10.000000       10.477121    1.386043e-05            0.00            0.00        1.396854       -3.101290             -100.00  
      10.000000       11.000000    2.164541e-06            0.00            0.00        4.970603        0.293710             -100.00  
      11.000000        7.000000    3.752137e-05            0.00            0.00        2.800000     -105.794290             -100.00  
      11.000000        8.000000    3.752939e-05            0.00            0.00        2.801000     -105.794290             -100.00  
      11.000000        8.301030    3.752137e-05            0.00            0.00        2.800000     -105.794290             -100.00  
      11.000000        8.602060    3.752137e-05            0.00            0.00        2.800000     -105.794290             -100.00  
      11.000000        8.845098    3.752939e-05            0.00            0.00        2.802000      -65.533290             -100.00  
      11.000000        9.000000    3.752137e-05            0.00            0.00        2.801000      -48.345290             -100.00  
      11.000000        9.176091    3.752137e-05            0.00            0.00        2.803000      -34.812290             -100.00  
      11.000000        9.301030    3.752137e-05            0.00            0.00        2.805000      -27.914290             -100.00  
      11.000000        9.477121    3.751336e-05            0.00            0.00        2.812000      -20.805290             -100.00  
      11.000000        9.698970    3.748933e-05            0.00            0.00        2.838000      -14.722290             -100.00  
      11.000000       10.000000    3.736596e-05            0.00            0.00        2.915000       -9.457290             -100.00  
      11.000000       10.477121    3.605538e-05            0.00            0.00        3.408008       -4.947290             -100.00  
      11.000000       11.000000    2.244970e-05            0.00            0.00        5.557795       -0.341290             -100.00  
