!57co -> 57fe, e- capture
!Q=-59.3424 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -10.242000      -16.192290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -10.738000      -16.682290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -10.872000      -16.810290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -10.984000      -16.908290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -10.380934      -16.293290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -8.994134      -14.918290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -7.519828      -13.455290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -6.484487      -12.346290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -5.043155      -10.688290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -3.237622       -8.670290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -0.842540       -6.078290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.232086       -2.469290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.244469        1.125710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -9.263000      -15.212290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -9.738000      -15.683290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -9.872000      -15.811290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -9.984000      -15.909290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -9.967975      -15.880290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -8.972275      -14.896290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -7.517949      -13.454290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -6.483601      -12.345290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -5.043155      -10.688290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -3.237622       -8.670290             -100.00  
