!57co -> 57ni, beta-decay
!Q=-59.3424 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -5.594098     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -5.594715     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -5.594795      -95.328290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -5.594848      -52.442290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -5.592459      -33.994290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -5.515302      -27.296290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -4.907834      -21.808290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -4.325925      -18.738290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -3.610896      -14.963290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -2.508122      -11.349290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -0.431900       -7.808290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.484191       -3.537290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.403581        0.362710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -5.586459     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -5.592166     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -5.592955      -96.329290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -5.593483      -53.442290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -5.591600      -34.407290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -5.514855      -27.318290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -4.907683      -21.809290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -4.325925      -18.738290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -3.610896      -14.963290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -2.508122      -11.349290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -0.431900       -7.808290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.484191       -3.537290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.403581        0.362710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -5.531245     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -5.567828     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -5.575058      -97.334290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -5.580062      -54.445290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -5.580736      -35.355290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -5.509396      -27.524290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -4.906603      -21.824290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -4.325566      -18.741290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -3.610599      -14.964290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -2.508122      -11.349290             -100.00  
