!59ni -> 59co, e- capture
!Q=-61.1529 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -17.341516      -23.108290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -14.039998      -21.408290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -12.908307      -19.947290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -10.583831      -17.019290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -8.760186      -15.167290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -7.910541      -14.032290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -6.687078      -12.447290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -5.756546      -11.443290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -4.560104      -10.144290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -3.178177       -8.576290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -1.137819       -6.343290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.198922       -2.505290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.293486        1.171710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -16.365633      -22.128290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -13.039000      -20.407290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -11.912528      -18.964290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -10.460337      -16.891290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -8.745040      -15.113290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -7.904611      -14.018290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -6.685477      -12.446290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -5.756546      -11.442290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -4.560104      -10.144290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -3.178177       -8.576290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -1.137819       -6.343290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.198922       -2.505290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.293486        1.171710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -15.464954      -21.227290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -12.025000      -19.391290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -10.907953      -17.960290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -9.917795      -16.341290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -8.586785      -14.714290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -7.838055      -13.874290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -6.674232      -12.433290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -5.753861      -11.439290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -4.559175      -10.143290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -3.178177       -8.576290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -1.137819       -6.343290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.198922       -2.505290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.293486        1.171710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00      -14.798990      -20.559290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00      -10.890000      -18.245290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -9.865996      -16.911290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -8.995078      -15.424290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -7.973414      -13.864290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -7.345078      -13.161290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -6.557117      -12.300290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -5.726012      -11.410290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -4.554526      -10.138290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -3.177201       -8.576290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -1.136847       -6.343290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.198922       -2.505290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.293486        1.171710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -9.110000      -16.581290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -8.821000      -16.064290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -8.501000      -15.485290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -7.890152      -14.378290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -7.026096      -12.887290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -6.431275      -12.185290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -5.890820      -11.597290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -5.461972      -11.136290             -100.00  
