!60cr -> 60mn, beta-decay
!Q=-46.46 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -0.802000            -6.178290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -0.802000            -6.178290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -0.802000            -6.178290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -0.802000            -6.178290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -0.802000            -6.178290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -0.801999            -6.178290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -0.801983            -6.177290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -0.778914            -6.143290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -0.235710            -5.475290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00        0.921356            -4.279290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        1.609954            -3.565290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.402243            -2.217290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.848300             0.684710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -0.802000            -6.178290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -0.802000            -6.178290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -0.802000            -6.178290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -0.802000            -6.178290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -0.802000            -6.178290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -0.801999            -6.178290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -0.801983            -6.177290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -0.778914            -6.143290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -0.235710            -5.475290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00        0.921356            -4.279290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00        1.609954            -3.565290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.402243            -2.217290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.848300             0.684710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -0.802000            -6.178290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -0.802000            -6.178290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -0.802000            -6.178290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -0.802000            -6.178290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -0.802000            -6.178290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -0.801999            -6.178290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -0.801983            -6.177290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -0.778914            -6.143290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -0.235711            -5.475290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00        0.921356            -4.279290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00        1.609954            -3.565290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.402243            -2.217290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.848300             0.684710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -0.802000            -6.178290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -0.802000            -6.178290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -0.802000            -6.178290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -0.802000            -6.178290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -0.802000            -6.178290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -0.802000            -6.178290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -0.801988            -6.177290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -0.778920            -6.143290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -0.235714            -5.475290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00        0.921352            -4.279290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00        1.609954            -3.565290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.402243            -2.217290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.848300             0.684710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -0.803000            -6.179290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -0.803000            -6.179290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -0.803000            -6.179290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -0.803000            -6.179290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -0.803000            -6.179290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -0.803000            -6.178290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -0.801998            -6.177290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -0.778959            -6.144290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -0.235746            -5.475290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00        0.921328            -4.279290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00        1.609954            -3.565290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        2.402243            -2.217290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.848300             0.684710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00       -0.807000            -6.186290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00       -0.807000            -6.186290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00       -0.807000            -6.186290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00       -0.807000            -6.186290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00       -0.807000            -6.186290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00       -0.806000            -6.185290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00       -0.805000            -6.184290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00       -0.781995            -6.149290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00       -0.236907            -5.477290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00        0.920110            -4.280290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00        1.608651            -3.567290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        2.402243            -2.217290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        4.848300             0.684710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00       -0.835000            -6.233290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00       -0.835000            -6.233290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00       -0.835000            -6.233290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00       -0.835000            -6.233290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00       -0.834000            -6.232290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00       -0.834000            -6.232290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00       -0.833000            -6.229290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00       -0.808000            -6.191290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00       -0.249994            -5.497290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00        0.913284            -4.292290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00        1.603831            -3.578290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        2.399714            -2.220290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        4.848300             0.684710             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00       -1.036000            -6.541290             -100.00  
       8.000000        8.000000    3.101814e-06            0.00            0.00       -1.038000            -6.545290             -100.00  
       8.000000        8.301030    3.100212e-06            0.00            0.00       -1.038000            -6.544290             -100.00  
       8.000000        8.602060    3.098610e-06            0.00            0.00       -1.038000            -6.544290             -100.00  
       8.000000        8.845098    3.093803e-06            0.00            0.00       -1.037000            -6.542290             -100.00  
       8.000000        9.000000    3.084190e-06            0.00            0.00       -1.036000            -6.539290             -100.00  
       8.000000        9.176091    3.064964e-06            0.00            0.00       -1.032000            -6.531290             -100.00  
       8.000000        9.301030    3.036125e-06            0.00            0.00       -0.997000            -6.469290             -100.00  
       8.000000        9.477121    2.954414e-06            0.00            0.00       -0.345000            -5.631290             -100.00  
       8.000000        9.698970    2.693259e-06            0.00            0.00        0.850010            -4.391290             -100.00  
       8.000000       10.000000    1.573337e-06            0.00            0.00        1.554540            -3.662290             -100.00  
       8.000000       10.477121   -4.838573e-07            0.00            0.00        2.375490            -2.249290             -100.00  
       8.000000       11.000000   -7.882709e-07            0.00            0.00        4.847301             0.683710             -100.00  
       9.000000        7.000000    7.483767e-06            0.00            0.00       -5.072000           -12.022290             -100.00  
       9.000000        8.000000    7.483767e-06            0.00            0.00       -5.092000           -12.024290             -100.00  
       9.000000        8.301030    7.483767e-06            0.00            0.00       -5.003000           -11.855290             -100.00  
       9.000000        8.602060    7.483767e-06            0.00            0.00       -4.748000           -11.428290             -100.00  
       9.000000        8.845098    7.474154e-06            0.00            0.00       -4.360000           -10.843290             -100.00  
       9.000000        9.000000    7.474154e-06            0.00            0.00       -4.032000           -10.385290             -100.00  
       9.000000        9.176091    7.466143e-06            0.00            0.00       -3.603000            -9.600290             -100.00  
       9.000000        9.301030    7.450121e-06            0.00            0.00       -2.664000            -8.244290             -100.00  
       9.000000        9.477121    7.410067e-06            0.00            0.00       -1.039000            -6.533290             -100.00  
       9.000000        9.698970    7.291506e-06            0.00            0.00        0.291000            -5.158290             -100.00  
       9.000000       10.000000    6.724335e-06            0.00            0.00        1.121232            -4.231290             -100.00  
       9.000000       10.477121    2.340780e-06            0.00            0.00        2.152289            -2.522290             -100.00  
       9.000000       11.000000   -5.191052e-07            0.00            0.00        4.839305             0.675710             -100.00  
      10.000000        7.000000    1.699589e-05            0.00            0.00      -99.697970          -105.794290             -100.00  
      10.000000        8.000000    1.699589e-05            0.00            0.00      -99.697970          -105.794290             -100.00  
      10.000000        8.301030    1.699589e-05            0.00            0.00      -99.697970          -105.794290             -100.00  
      10.000000        8.602060    1.699589e-05            0.00            0.00      -69.955000           -76.739290             -100.00  
      10.000000        8.845098    1.699589e-05            0.00            0.00      -40.318000           -46.862290             -100.00  
      10.000000        9.000000    1.698788e-05            0.00            0.00      -28.250000           -34.642290             -100.00  
      10.000000        9.176091    1.698788e-05            0.00            0.00      -18.708000           -24.930290             -100.00  
      10.000000        9.301030    1.697987e-05            0.00            0.00      -13.807000           -19.909290             -100.00  
      10.000000        9.477121    1.696385e-05            0.00            0.00       -8.764000           -14.700290             -100.00  
      10.000000        9.698970    1.690617e-05            0.00            0.00       -4.450000           -10.233290             -100.00  
      10.000000       10.000000    1.664501e-05            0.00            0.00       -1.340949            -6.866290             -100.00  
