!60cu -> 60zn, beta-decay
!Q=-58.3433 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -55.549000           -62.319290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -32.638996           -39.160290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -24.281783           -30.641290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -17.683484           -23.856290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -14.280752           -20.321290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -10.673776           -16.507290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -7.310396           -12.832290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -3.708858            -8.890290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        0.808275            -3.899290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.564038             0.372710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -56.548000           -63.319290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -33.051990           -39.573290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -24.303772           -30.663290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -17.684476           -23.858290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -14.281728           -20.321290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -10.673776           -16.507290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -7.310396           -12.832290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -3.708858            -8.890290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        0.808275            -3.899290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.564038             0.372710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -57.550999           -64.322290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -34.000911           -40.521290             -100.00  
