!60ni -> 60cu, beta-decay
!Q=-64.4702 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -79.266978           -86.035290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -45.440977           -51.959290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -32.628866           -38.985290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -22.442648           -28.612290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -17.178587           -23.209290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -11.677706           -17.494290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -6.951705           -12.484290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -2.963678            -8.154290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.152160            -3.559290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.660088             0.471710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -80.266784           -87.035290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -45.853941           -52.372290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -32.649860           -39.007290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -22.444646           -28.614290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -17.179586           -23.209290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -11.677706           -17.494290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -6.951705           -12.484290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -2.963678            -8.154290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.152160            -3.559290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.660088             0.471710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -81.267844           -88.036290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -46.801476           -53.320290             -100.00  
