!60zn -> 60cu, e- capture
!Q=-54.1841 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -2.289977     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -2.289993     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -2.289995     -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -2.289996      -62.319290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -2.289987      -39.160290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -2.289756      -30.641290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -2.280755      -23.856290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -2.237540      -20.321290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -2.026477      -16.507290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -1.520805      -12.832290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -0.108224       -8.890290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.724686       -3.899290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.650681        0.372710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -2.289777     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -2.289927     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -2.289948     -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -2.289962      -63.319290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -2.289966      -39.573290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -2.289744      -30.663290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -2.280748      -23.858290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -2.237540      -20.321290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -2.026477      -16.507290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -1.520805      -12.832290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -0.108224       -8.890290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.724686       -3.899290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.650681        0.372710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -2.288234     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -2.289280     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -2.289481     -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -2.289619      -64.322290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -2.289696      -40.521290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -2.289588      -30.869290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -2.280634      -23.872290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -2.237448      -20.324290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -2.026477      -16.508290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -1.520370      -12.832290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -0.108224       -8.890290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.724686       -3.899290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.650681        0.372710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -2.281932     -105.794290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -2.283725     -105.794290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -2.285065     -105.794290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -2.286260      -65.340290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -2.286985      -41.526290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -2.287300      -31.688290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -2.279361      -24.013290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -2.236462      -20.355290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -2.025704      -16.513290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -1.520370      -12.833290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -0.108224       -8.890290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.724686       -3.899290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.650681        0.372710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -2.251165     -105.794290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -2.251928     -105.794290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -2.253571     -105.794290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -2.257891      -66.508290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -2.262028      -42.576290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -2.264475      -32.691290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -2.260399      -24.728290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -2.223584      -20.637290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -2.018745      -16.566290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -1.516864      -12.841290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -0.107584       -8.891290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        2.724686       -3.899290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        5.650681        0.372710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00       -2.096224     -105.794290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00       -2.096224     -105.794290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00       -2.095864     -105.794290             -100.00  
