 Q values are the nuclear mass differences (parent - daughter) in MeV.

     t9 = temperature (T(K) / 10^9)
     lrho = log base 10 of the product of the density (g * cm^-3) and
            the electron fraction
     uf = electron kinetic chemical potential (MeV)
     lbeta+ = log base 10 of the positron decay rate (s^-1)
     lfte- = log base 10 of the effective ft value for electron
             capture (s)
     lnu = log base 10 of the average energy of the emitted neutrinos
           in both positron emission and electron capture (MeV)
     lbeta- = log base 10 of the electron decay rate (s^-1)
     lfte+ = log base 10 of the effective ft value for positron
             capture (s)
     lnubar = log base 10 of the average energy of the emitted
              antineutrinos in both electron emission and positron 
              capture (MeV) 

 neg. daughter H1   z= 1 n= 0 a= 1 Q=  1.2933
 pos. daughter N01  z= 0 n= 1 a= 1 Q= -1.2933
                      +++ H1   --> N01  +++      --- N01  --> H1   ---
   t9   lrho    uf    lbeta+    lfte-     lnu    lbeta-    lfte+   lnubar
  0.01  1.0  -0.003  -99.999  -99.999  -99.999   -2.959  -99.999   -0.318
  0.10  1.0  -0.058  -99.999    3.052   -1.581   -2.959    3.815   -0.318
  0.20  1.0  -0.134  -99.999    3.051   -1.274   -2.959    3.664   -0.318
  0.40  1.0  -0.306  -99.999    3.048   -0.962   -2.959    3.513   -0.318
  0.70  1.0  -0.503  -99.999    3.045   -0.705   -2.959    3.392   -0.318
  1.00  1.0  -0.511  -99.999    3.042   -0.537   -2.959    3.317   -0.314
  1.50  1.0  -0.511  -99.999    3.038   -0.343   -2.960    3.235   -0.261
  2.00  1.0  -0.511  -99.999    3.035   -0.203   -2.964    3.182   -0.095
  3.00  1.0  -0.511  -99.999    3.031   -0.004   -2.980    3.119    0.249
  5.00  1.0  -0.511  -99.999    3.026    0.248   -3.023    3.067    0.489
 10.00  1.0  -0.511  -99.999    3.021    0.584   -3.103    3.037    0.718
 30.00  1.0  -0.511  -99.999    3.019    1.096   -3.197    3.029    1.142
100.00  1.0  -0.511  -99.999    3.018    1.634   -3.240    3.028    1.647
  0.01  2.0  -0.001  -99.999  -99.999  -99.999   -2.959  -99.999   -0.318
  0.10  2.0  -0.038  -99.999    3.052   -1.581   -2.959    3.815   -0.318
  0.20  2.0  -0.095  -99.999    3.051   -1.274   -2.959    3.664   -0.318
  0.40  2.0  -0.227  -99.999    3.048   -0.962   -2.959    3.513   -0.318
  0.70  2.0  -0.446  -99.999    3.045   -0.705   -2.959    3.392   -0.318
  1.00  2.0  -0.506  -99.999    3.042   -0.537   -2.959    3.317   -0.315
  1.50  2.0  -0.511  -99.999    3.038   -0.343   -2.960    3.235   -0.261
  2.00  2.0  -0.511  -99.999    3.035   -0.203   -2.964    3.182   -0.095
  3.00  2.0  -0.511  -99.999    3.031   -0.004   -2.980    3.119    0.249
  5.00  2.0  -0.511  -99.999    3.026    0.248   -3.023    3.067    0.489
 10.00  2.0  -0.511  -99.999    3.021    0.584   -3.103    3.037    0.718
 30.00  2.0  -0.511  -99.999    3.019    1.096   -3.197    3.029    1.142
100.00  2.0  -0.511  -99.999    3.018    1.634   -3.240    3.028    1.647
  0.01  3.0   0.002  -99.999  -99.999  -99.999   -2.959  -99.999   -0.318
  0.10  3.0  -0.018  -99.999    3.052   -1.581   -2.959    3.815   -0.318
  0.20  3.0  -0.055  -99.999    3.051   -1.274   -2.959    3.664   -0.318
  0.40  3.0  -0.147  -99.999    3.048   -0.962   -2.959    3.513   -0.318
  0.70  3.0  -0.314  -99.999    3.045   -0.705   -2.959    3.392   -0.318
  1.00  3.0  -0.465  -99.999    3.042   -0.537   -2.959    3.317   -0.316
  1.50  3.0  -0.506  -99.999    3.038   -0.343   -2.960    3.235   -0.263
  2.00  3.0  -0.510  -99.999    3.035   -0.203   -2.964    3.182   -0.096
  3.00  3.0  -0.511  -99.999    3.031   -0.004   -2.980    3.119    0.249
  5.00  3.0  -0.511  -99.999    3.026    0.248   -3.023    3.067    0.489
 10.00  3.0  -0.511  -99.999    3.021    0.584   -3.103    3.037    0.718
 30.00  3.0  -0.511  -99.999    3.019    1.096   -3.197    3.029    1.142
100.00  3.0  -0.511  -99.999    3.018    1.634   -3.240    3.028    1.647
  0.01  4.0   0.012  -99.999  -99.999  -99.999   -2.961  -99.999   -0.319
  0.10  4.0   0.005  -99.999    3.052   -1.581   -2.961    3.815   -0.319
  0.20  4.0  -0.013  -99.999    3.051   -1.274   -2.961    3.664   -0.319
  0.40  4.0  -0.067  -99.999    3.048   -0.962   -2.961    3.513   -0.319
  0.70  4.0  -0.174  -99.999    3.045   -0.705   -2.960    3.392   -0.319
  1.00  4.0  -0.302  -99.999    3.042   -0.537   -2.960    3.317   -0.318
  1.50  4.0  -0.464  -99.999    3.038   -0.343   -2.961    3.236   -0.277
  2.00  4.0  -0.497  -99.999    3.035   -0.203   -2.965    3.182   -0.107
