!45ca -> 45sc, beta-decay
!Q=-0.7678 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -7.302000              1.434533e-14     0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -7.302000              1.434533e-14     0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -7.302000              1.434533e-14     0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -7.304000              1.431233e-14     0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -7.318000              1.398654e-14     0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -7.338000              1.639496e-14     0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -7.372000              8.179192e-14     0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -7.366000              4.761134e-13     0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -6.781000              5.857474e-12     0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -5.189000              2.007754e-10     0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.797000              5.777107e-08     0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   -1.391000              1.171414e-04     0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   -1.334000              1.218177e-01     0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -7.303000              1.431233e-14     0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -7.303000              1.434533e-14     0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -7.302000              1.434533e-14     0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -7.304000              1.427941e-14     0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -7.318000              1.392228e-14     0.00  
