!45cr -> 45v, e- capture
!Q=-11.95 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   1.137001               -4.005290e+00         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   1.137000               -4.005290e+00         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   1.137000               -4.005290e+00         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   1.137000               -4.005290e+00         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   1.137000               -4.005290e+00         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   1.136006               -4.005290e+00         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   1.135085               -4.007290e+00         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   1.132370               -4.009290e+00         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   1.125151               -4.014290e+00         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   1.122737               -4.005290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   1.256296               -3.744290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   2.638148               -1.924290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.976058               8.497104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   1.137006               -4.005290e+00         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   1.137002               -4.005290e+00         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   1.137001               -4.005290e+00         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   1.137001               -4.005290e+00         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   1.137001               -4.005290e+00         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   1.136007               -4.005290e+00         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   1.135085               -4.007290e+00         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   1.132371               -4.009290e+00         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   1.125151               -4.014290e+00         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   1.122737               -4.005290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   1.256296               -3.744290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   2.638148               -1.924290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.976058               8.497104e-01          -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   1.137041               -4.005290e+00         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   1.137018               -4.005290e+00         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   1.137013               -4.005290e+00         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   1.137010               -4.005290e+00         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   1.137008               -4.005290e+00         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   1.136011               -4.005290e+00         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   1.135088               -4.007290e+00         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   1.132374               -4.009290e+00         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   1.125156               -4.014290e+00         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   1.122737               -4.005290e+00         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   1.256296               -3.744290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   2.638148               -1.924290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.976058               8.497104e-01          -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   1.137208               -4.004290e+00         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   1.137161               -4.004290e+00         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   1.137126               -4.005290e+00         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   1.137096               -4.005290e+00         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   1.137078               -4.005290e+00         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   1.136070               -4.005290e+00         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   1.135122               -4.006290e+00         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   1.132401               -4.009290e+00         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   1.125181               -4.014290e+00         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   1.122770               -4.005290e+00         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   1.256296               -3.744290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   2.638148               -1.924290e+00         -100.00
