!45sc -> 45ti, beta-decay
!Q=1.5514 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -67.382000             -6.369929e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -36.999000             -3.591029e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -23.828000             -2.391629e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -18.471000             -1.980329e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -14.181000             -1.638229e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -11.782000             -1.449529e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -8.990000              -1.235929e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -6.359000              -1.022429e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -3.688000              -7.776290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   -1.887000              -4.342290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   -1.439000              -1.155290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -67.383000             -6.469929e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -36.999000             -3.691129e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -23.828000             -2.432929e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -18.471000             -1.982529e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -14.181000             -1.638329e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -11.782000             -1.449629e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -8.990000              -1.235929e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -6.359000              -1.022429e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -3.688000              -7.776290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   -1.887000              -4.342290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   -1.439000              -1.155290e+00         -100.00
