!45ti -> 45sc, e- capture
!Q=-1.5514 MeV
!
!rhoY         temp          mu             dQ    Vs     e-cap-rate        nu-energy-loss gamma-energy
!g/cm^3       K             1/s            erg   erg    1/s               erg/s          erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   2.355049e-08      4.997012e-11   0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   7.603263e-09      4.962613e-11   0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   5.470160e-09      4.728358e-11   0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   4.055085e-09      4.362248e-11   0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   1.465548e-08      4.156334e-11   0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   2.798981e-07      4.146774e-11   0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   4.017908e-06      5.379110e-11   0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   1.887991e-05      1.090713e-10   0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   1.276439e-04      5.750563e-10   0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   1.241652e-03      7.042233e-09   0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   4.178304e-02      4.642056e-07   0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   1.811340e+01      4.402612e-04   0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   7.816278e+03      5.391510e-01   0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   2.249055e-07      5.066527e-11   0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   7.585776e-08      4.985519e-11   0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   5.457579e-08      4.750184e-11   0.00  
1.000000e+02  4.000000e+08  -3.636941e-07  0.00  0.00   4.055085e-08      4.382384e-11   0.00  
1.000000e+02  7.000000e+08  -7.145708e-07  0.00  0.00   3.793150e-08      4.156334e-11   0.00  
1.000000e+02  1.000000e+09  -8.107014e-07  0.00  0.00   2.944422e-07      4.156334e-11   0.00  
1.000000e+02  1.500000e+09  -8.187123e-07  0.00  0.00   4.027170e-06      5.379110e-11   0.00  
1.000000e+02  2.000000e+09  -8.187123e-07  0.00  0.00   1.887991e-05      1.090713e-10   0.00  
1.000000e+02  3.000000e+09  -8.187123e-07  0.00  0.00   1.276439e-04      5.750563e-10   0.00  
1.000000e+02  5.000000e+09  -8.187123e-07  0.00  0.00   1.241652e-03      7.042233e-09   0.00  
1.000000e+02  1.000000e+10  -8.187123e-07  0.00  0.00   4.178304e-02      4.642056e-07   0.00  
1.000000e+02  3.000000e+10  -8.187123e-07  0.00  0.00   1.811340e+01      4.402612e-04   0.00  
1.000000e+02  1.000000e+11  -8.187123e-07  0.00  0.00   7.816278e+03      5.391510e-01   0.00  
1.000000e+03  1.000000e+07   3.204353e-09  0.00  0.00   1.667247e-06      5.542560e-11   0.00  
1.000000e+03  1.000000e+08  -2.883918e-08  0.00  0.00   7.481695e-07      5.208473e-11   0.00  
1.000000e+03  2.000000e+08  -8.811971e-08  0.00  0.00   5.432503e-07      4.905806e-11   0.00  
1.000000e+03  4.000000e+08  -2.355200e-07  0.00  0.00   4.045759e-07      4.494800e-11   0.00  
1.000000e+03  7.000000e+08  -5.030835e-07  0.00  0.00   3.357376e-07      4.253147e-11   0.00  
1.000000e+03  1.000000e+09  -7.450121e-07  0.00  0.00   4.731513e-07      4.214154e-11   0.00  
1.000000e+03  1.500000e+09  -8.107014e-07  0.00  0.00   4.168694e-06      5.428882e-11   0.00  
1.000000e+03  2.000000e+09  -8.171101e-07  0.00  0.00   1.905461e-05      1.095747e-10   0.00  
1.000000e+03  3.000000e+09  -8.187123e-07  0.00  0.00   1.279381e-04      5.763820e-10   0.00  
1.000000e+03  5.000000e+09  -8.187123e-07  0.00  0.00   1.241652e-03      7.042233e-09   0.00  
1.000000e+03  1.000000e+10  -8.187123e-07  0.00  0.00   4.178304e-02      4.642056e-07   0.00  
1.000000e+03  3.000000e+10  -8.187123e-07  0.00  0.00   1.811340e+01      4.402612e-04   0.00  
1.000000e+03  1.000000e+11  -8.187123e-07  0.00  0.00   7.816278e+03      5.391510e-01   0.00  
1.000000e+04  1.000000e+07   1.922612e-08  0.00  0.00   8.531001e-06      7.811068e-11   0.00  
1.000000e+04  1.000000e+08   8.010883e-09  0.00  0.00   6.622165e-06      7.140200e-11   0.00  
1.000000e+04  2.000000e+08  -2.082830e-08  0.00  0.00   5.199960e-06      6.437398e-11   0.00  
1.000000e+04  4.000000e+08  -1.073458e-07  0.00  0.00   3.999447e-06      5.671663e-11   0.00  
1.000000e+04  7.000000e+08  -2.787787e-07  0.00  0.00   3.341950e-06      5.244576e-11   0.00  
1.000000e+04  1.000000e+09  -4.838573e-07  0.00  0.00   3.111716e-06      5.089913e-11   0.00  
1.000000e+04  1.500000e+09  -7.434100e-07  0.00  0.00   5.754399e-06      5.993912e-11   0.00  
1.000000e+04  2.000000e+09  -7.962818e-07  0.00  0.00   2.046445e-05      1.147388e-10   0.00  
1.000000e+04  3.000000e+09  -8.123036e-07  0.00  0.00   1.294196e-04      5.817152e-10   0.00  
1.000000e+04  5.000000e+09  -8.171101e-07  0.00  0.00   1.244515e-03      7.058467e-09   0.00  
1.000000e+04  1.000000e+10  -8.187123e-07  0.00  0.00   4.178304e-02      4.642056e-07   0.00  
1.000000e+04  3.000000e+10  -8.187123e-07  0.00  0.00   1.811340e+01      4.402612e-04   0.00  
1.000000e+04  1.000000e+11  -8.187123e-07  0.00  0.00   7.816278e+03      5.391510e-01   0.00  
1.000000e+05  1.000000e+07   8.491536e-08  0.00  0.00   4.375221e-05      1.953037e-10   0.00  
1.000000e+05  1.000000e+08   8.331318e-08  0.00  0.00   4.295364e-05      1.926240e-10   0.00  
1.000000e+05  2.000000e+08   7.530230e-08  0.00  0.00   4.073803e-05      1.818488e-10   0.00  
1.000000e+05  4.000000e+08   4.165659e-08  0.00  0.00   3.622430e-05      1.624465e-10   0.00  
1.000000e+05  7.000000e+08  -4.165659e-08  0.00  0.00   3.228494e-05      1.481530e-10   0.00  
1.000000e+05  1.000000e+09  -1.570133e-07  0.00  0.00   3.040885e-05      1.427941e-10   0.00  
1.000000e+05  1.500000e+09  -3.941355e-07  0.00  0.00   3.006076e-05      1.451144e-10   0.00  
1.000000e+05  2.000000e+09  -6.136337e-07  0.00  0.00   3.917419e-05      1.839545e-10   0.00  
1.000000e+05  3.000000e+09  -7.626361e-07  0.00  0.00   1.458814e-04      6.511940e-10   0.00  
1.000000e+05  5.000000e+09  -8.042927e-07  0.00  0.00   1.267652e-03      7.173158e-09   0.00  
1.000000e+05  1.000000e+10  -8.155079e-07  0.00  0.00   4.187936e-02      4.642056e-07   0.00  
1.000000e+05  3.000000e+10  -8.187123e-07  0.00  0.00   1.811340e+01      4.402612e-04   0.00  
1.000000e+05  1.000000e+11  -8.187123e-07  0.00  0.00   7.816278e+03      5.391510e-01   0.00  
1.000000e+06  1.000000e+07   3.444680e-07  0.00  0.00   2.930893e-04      1.070805e-09   0.00  
1.000000e+06  1.000000e+08   3.428658e-07  0.00  0.00   2.924152e-04      1.065885e-09   0.00  
1.000000e+06  2.000000e+08   3.412636e-07  0.00  0.00   2.897344e-04      1.046431e-09   0.00  
1.000000e+06  4.000000e+08   3.316506e-07  0.00  0.00   2.864178e-04      1.020259e-09   0.00  
1.000000e+06  7.000000e+08   3.028114e-07  0.00  0.00   2.851018e-04      1.013235e-09   0.00  
1.000000e+06  1.000000e+09   2.579504e-07  0.00  0.00   2.851018e-04      1.027331e-09   0.00  
1.000000e+06  1.500000e+09   1.490024e-07  0.00  0.00   2.910717e-04      1.078227e-09   0.00  
1.000000e+06  2.000000e+09   1.602177e-09  0.00  0.00   3.033891e-04      1.171414e-09   0.00  
1.000000e+06  3.000000e+09  -3.396614e-07  0.00  0.00   3.837072e-04      1.643276e-09   0.00  
1.000000e+06  5.000000e+09  -6.729142e-07  0.00  0.00   1.520548e-03      8.544967e-09   0.00  
1.000000e+06  1.000000e+10  -7.866687e-07  0.00  0.00   4.275629e-02      4.728358e-07   0.00  
1.000000e+06  3.000000e+10  -8.155079e-07  0.00  0.00   1.815516e+01      4.402612e-04   0.00  
1.000000e+06  1.000000e+11  -8.187123e-07  0.00  0.00   7.816278e+03      5.391510e-01   0.00  
1.000000e+07  1.000000e+07   1.140750e-06  0.00  0.00   3.083188e-03      1.249426e-08   0.00  
1.000000e+07  1.000000e+08   1.139148e-06  0.00  0.00   3.076097e-03      1.246552e-08   0.00  
1.000000e+07  2.000000e+08   1.139148e-06  0.00  0.00   3.069022e-03      1.229449e-08   0.00  
1.000000e+07  4.000000e+08   1.134341e-06  0.00  0.00   3.061963e-03      1.209791e-08   0.00  
1.000000e+07  7.000000e+08   1.123126e-06  0.00  0.00   3.083188e-03      1.212580e-08   0.00  
1.000000e+07  1.000000e+09   1.103900e-06  0.00  0.00   3.126079e-03      1.235124e-08   0.00  
1.000000e+07  1.500000e+09   1.060641e-06  0.00  0.00   3.228494e-03      1.299303e-08   0.00  
1.000000e+07  2.000000e+09   9.965539e-07  0.00  0.00   3.372873e-03      1.392228e-08   0.00  
1.000000e+07  3.000000e+09   8.171101e-07  0.00  0.00   3.784426e-03      1.685429e-08   0.00  
1.000000e+07  5.000000e+09   2.996070e-07  0.00  0.00   5.546257e-03      3.074046e-08   0.00  
1.000000e+07  1.000000e+10  -5.046856e-07  0.00  0.00   5.188000e-02      5.658618e-07   0.00  
1.000000e+07  3.000000e+10  -7.850666e-07  0.00  0.00   1.828100e+01      4.433129e-04   0.00  
1.000000e+07  1.000000e+11  -8.155079e-07  0.00  0.00   7.834296e+03      5.403938e-01   0.00  
1.000000e+08  1.000000e+07   3.101814e-06  0.00  0.00   5.345644e-02      2.942459e-07   0.00  
1.000000e+08  1.000000e+08   3.101814e-06  0.00  0.00   5.345644e-02      2.942459e-07   0.00  
1.000000e+08  2.000000e+08   3.100212e-06  0.00  0.00   5.370318e-02      2.928939e-07   0.00  
1.000000e+08  4.000000e+08   3.098610e-06  0.00  0.00   5.420009e-02      2.915482e-07   0.00  
1.000000e+08  7.000000e+08   3.093803e-06  0.00  0.00   5.457579e-02      2.928939e-07   0.00  
1.000000e+08  1.000000e+09   3.085792e-06  0.00  0.00   5.508077e-02      2.949242e-07   0.00  
1.000000e+08  1.500000e+09   3.064964e-06  0.00  0.00   5.597576e-02      3.017939e-07   0.00  
1.000000e+08  2.000000e+09   3.036125e-06  0.00  0.00   5.714786e-02      3.116810e-07   0.00  
1.000000e+08  3.000000e+09   2.954414e-06  0.00  0.00   6.067363e-02      3.425393e-07   0.00  
1.000000e+08  5.000000e+09   2.693259e-06  0.00  0.00   7.464488e-02      4.717484e-07   0.00  
1.000000e+08  1.000000e+10   1.573337e-06  0.00  0.00   2.055891e-01      2.141462e-06   0.00  
1.000000e+08  3.000000e+10  -4.838573e-07  0.00  0.00   1.958845e+01      4.761134e-04   0.00  
1.000000e+08  1.000000e+11  -7.882709e-07  0.00  0.00   7.834296e+03      5.403938e-01   0.00  
1.000000e+09  1.000000e+07   7.480563e-06  0.00  0.00   1.538155e+00      1.305300e-05   0.00  
1.000000e+09  1.000000e+08   7.480563e-06  0.00  0.00   1.541700e+00      1.305300e-05   0.00  
1.000000e+09  2.000000e+08   7.480563e-06  0.00  0.00   1.555966e+00      1.314348e-05   0.00  
1.000000e+09  4.000000e+08   7.480563e-06  0.00  0.00   1.588547e+00      1.329568e-05   0.00  
1.000000e+09  7.000000e+08   7.477358e-06  0.00  0.00   1.606941e+00      1.341870e-05   0.00  
1.000000e+09  1.000000e+09   7.474154e-06  0.00  0.00   1.621810e+00      1.351171e-05   0.00  
1.000000e+09  1.500000e+09   7.464541e-06  0.00  0.00   1.636817e+00      1.366817e-05   0.00  
1.000000e+09  2.000000e+09   7.450121e-06  0.00  0.00   1.651962e+00      1.382644e-05   0.00  
1.000000e+09  3.000000e+09   7.413271e-06  0.00  0.00   1.698244e+00      1.434533e-05   0.00  
1.000000e+09  5.000000e+09   7.291506e-06  0.00  0.00   1.874995e+00      1.654666e-05   0.00  
1.000000e+09  1.000000e+10   6.724335e-06  0.00  0.00   3.419794e+00      3.951031e-05   0.00  
1.000000e+09  3.000000e+10   2.340780e-06  0.00  0.00   3.758374e+01      9.177204e-04   0.00  
1.000000e+09  1.000000e+11  -5.191052e-07  0.00  0.00   7.998343e+03      5.517094e-01   0.00  
1.000000e+10  1.000000e+07   1.699429e-05  0.00  0.00   9.036495e+01      1.176821e-03   0.00  
1.000000e+10  1.000000e+08   1.699429e-05  0.00  0.00   9.057326e+01      1.179534e-03   0.00  
1.000000e+10  2.000000e+08   1.699429e-05  0.00  0.00   9.141132e+01      1.193192e-03   0.00  
1.000000e+10  4.000000e+08   1.699429e-05  0.00  0.00   9.311079e+01      1.215375e-03   0.00  
1.000000e+10  7.000000e+08   1.699269e-05  0.00  0.00   9.418896e+01      1.229449e-03   0.00  
1.000000e+10  1.000000e+09   1.699108e-05  0.00  0.00   9.462372e+01      1.237971e-03   0.00  
1.000000e+10  1.500000e+09   1.698628e-05  0.00  0.00   9.506048e+01      1.246552e-03   0.00  
