!45ti -> 45v, beta-decay
!Q=6.6223 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             1.605870e-106    0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -98.499000             1.658481e-98     0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -59.076000             3.102490e-59     0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -43.043000             3.102490e-44     0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -30.282000             2.278822e-32     0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -23.683000             2.829505e-26     0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -16.834000             5.966373e-20     0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -11.061000             1.635725e-14     0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -6.325000              8.235887e-10     0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   -3.092000              1.533594e-05     0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   -2.187000              2.580539e-02     0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             1.605870e-106    0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -98.499000             1.658481e-99     0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -59.076000             1.198700e-59     0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -43.043000             2.956041e-44     0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -30.282000             2.273581e-32     0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -23.683000             2.829505e-26     0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -16.834000             5.966373e-20     0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -11.061000             1.635725e-14     0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -6.325000              8.235887e-10     0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   -3.092000              1.533594e-05     0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   -2.187000              2.580539e-02     0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -98.502000             1.650861e-100    0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -59.077000             1.351171e-60     0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -43.044000             1.839545e-44     0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -30.282000             2.196395e-32     0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -23.683000             2.803563e-26     0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -16.834000             5.952651e-20     0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -11.061000             1.635725e-14     0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -6.325000              8.235887e-10     0.00  
