!46ca -> 46sc, beta-decay
!Q=0.8653 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -69.753000             -6.990929e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -37.316000             -3.856129e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -23.413000             -2.508329e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -17.850000             -2.038529e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -13.512000             -1.650929e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -11.286000             -1.439329e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -8.573000              -1.202529e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -5.561000              -9.750290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.429000              -7.305290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   -0.956000              -4.482290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   -0.921000              -1.699290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -69.753000             -7.091029e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -37.316000             -3.956129e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -23.414000             -2.549729e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -17.850000             -2.040729e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -13.512000             -1.651029e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -11.286000             -1.439329e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -8.573000              -1.202529e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -5.561000              -9.750290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.429000              -7.305290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   -0.956000              -4.482290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   -0.921000              -1.699290e+00         -100.00
