!46sc -> 46ca, e- capture
!Q=-0.8653 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -24.081000             -3.044929e+01         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -18.472000             -2.482129e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -15.616854             -2.179929e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -11.111363             -1.702129e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -9.033324              -1.494029e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -7.431274              -1.331029e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -6.610005              -1.239729e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -5.629470              -1.115729e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -4.384834              -9.660290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.628314              -7.688290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.560389               -4.128290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   3.564026               -6.102896e-01         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -23.082000             -2.945029e+01         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -17.472000             -2.382129e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -14.692792             -2.095329e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -11.108777             -1.701929e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -9.033192              -1.494029e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -7.431236              -1.331029e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -6.609866              -1.239729e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -5.629470              -1.115729e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -4.384834              -9.660290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.628314              -7.688290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.560389               -4.128290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   3.564026               -6.102896e-01         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -22.087000             -2.845529e+01         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -16.474000             -2.282229e+01         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -13.701070             -1.997229e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -11.076972             -1.699529e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -9.031497              -1.493729e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -7.430698              -1.330829e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -6.609447              -1.239629e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -5.629470              -1.115729e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -4.383971              -9.660290e+00         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -2.628314              -7.688290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.560389               -4.128290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   3.564026               -6.102896e-01         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -21.133000             -2.749629e+01         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -15.488000             -2.183329e+01         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -12.703907             -1.897529e+01         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -10.842792             -1.681029e+01         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -9.007141              -1.489729e+01         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -7.424240              -1.329129e+01         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -6.604968              -1.238529e+01         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -5.626456              -1.115229e+01         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -4.383971              -9.659290e+00         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -2.628314              -7.687290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   0.560389               -4.128290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   3.564026               -6.102896e-01         -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -20.267000             -2.660029e+01         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -14.552000             -2.087129e+01         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -11.717990             -1.797229e+01         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -10.130279             -1.615629e+01         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   -8.810492              -1.461429e+01         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   -7.336145              -1.308729e+01         -100.00
5.000000      9.301030      -6.136337e-07  0.00  0.00   -6.548781              -1.225829e+01         -100.00
5.000000      9.477121      -7.626361e-07  0.00  0.00   -5.599536              -1.111029e+01         -100.00
5.000000      9.698970      -8.042927e-07  0.00  0.00   -4.376924              -9.651290e+00         -100.00
5.000000      10.000000     -8.155079e-07  0.00  0.00   -2.627444              -7.687290e+00         -100.00
5.000000      10.477121     -8.187123e-07  0.00  0.00   0.560389               -4.128290e+00         -100.00
5.000000      11.000000     -8.187123e-07  0.00  0.00   3.564026               -6.102896e-01         -100.00
6.000000      7.000000       3.444680e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
6.000000      8.000000       3.428658e-07  0.00  0.00   -19.213000             -2.540529e+01         -100.00
6.000000      8.301030       3.412636e-07  0.00  0.00   -13.490000             -1.967729e+01         -100.00
6.000000      8.602060       3.316506e-07  0.00  0.00   -10.649999             -1.680029e+01         -100.00
6.000000      8.845098       3.028114e-07  0.00  0.00   -9.129466              -1.512529e+01         -100.00
6.000000      9.000000       2.579504e-07  0.00  0.00   -8.129494              -1.383729e+01         -100.00
6.000000      9.176091       1.490024e-07  0.00  0.00   -6.858717              -1.237829e+01         -100.00
6.000000      9.301030       1.602177e-09  0.00  0.00   -6.118843              -1.159529e+01         -100.00
6.000000      9.477121      -3.396614e-07  0.00  0.00   -5.326523              -1.074229e+01         -100.00
6.000000      9.698970      -6.729142e-07  0.00  0.00   -4.307220              -9.575290e+00         -100.00
6.000000      10.000000     -7.866687e-07  0.00  0.00   -2.620477              -7.679290e+00         -100.00
6.000000      10.477121     -8.155079e-07  0.00  0.00   0.561381               -4.128290e+00         -100.00
6.000000      11.000000     -8.187123e-07  0.00  0.00   3.564026               -6.102896e-01         -100.00
7.000000      7.000000       1.140750e-06  0.00  0.00   -99.697970             -1.057943e+02         -100.00
7.000000      8.000000       1.139148e-06  0.00  0.00   -17.754000             -2.364729e+01         -100.00
7.000000      8.301030       1.139148e-06  0.00  0.00   -12.035000             -1.792729e+01         -100.00
7.000000      8.602060       1.134341e-06  0.00  0.00   -9.221000              -1.510129e+01         -100.00
7.000000      8.845098       1.123126e-06  0.00  0.00   -7.804786              -1.362129e+01         -100.00
7.000000      9.000000       1.103900e-06  0.00  0.00   -6.972234              -1.262329e+01         -100.00
7.000000      9.176091       1.060641e-06  0.00  0.00   -5.898568              -1.132129e+01         -100.00
7.000000      9.301030       9.965539e-07  0.00  0.00   -5.199163              -1.056029e+01         -100.00
7.000000      9.477121       8.171101e-07  0.00  0.00   -4.451028              -9.763290e+00         -100.00
7.000000      9.698970       2.996070e-07  0.00  0.00   -3.785868              -9.020290e+00         -100.00
7.000000      10.000000     -5.046856e-07  0.00  0.00   -2.545046              -7.598290e+00         -100.00
7.000000      10.477121     -7.850666e-07  0.00  0.00   0.564358               -4.124290e+00         -100.00
7.000000      11.000000     -8.155079e-07  0.00  0.00   3.564026               -6.102896e-01         -100.00
8.000000      7.000000       3.101814e-06  0.00  0.00   -5.740000              -1.177929e+01         -100.00
8.000000      8.000000       3.101814e-06  0.00  0.00   -5.741000              -1.177929e+01         -100.00
8.000000      8.301030       3.100212e-06  0.00  0.00   -5.766000              -1.180329e+01         -100.00
8.000000      8.602060       3.098610e-06  0.00  0.00   -5.838000              -1.185129e+01         -100.00
8.000000      8.845098       3.093803e-06  0.00  0.00   -5.727998              -1.150529e+01         -100.00
8.000000      9.000000       3.085792e-06  0.00  0.00   -5.335913              -1.088629e+01         -100.00
8.000000      9.176091       3.064964e-06  0.00  0.00   -4.572421              -9.907290e+00         -100.00
8.000000      9.301030       3.036125e-06  0.00  0.00   -3.970138              -9.228290e+00         -100.00
8.000000      9.477121       2.954414e-06  0.00  0.00   -3.280006              -8.491290e+00         -100.00
8.000000      9.698970       2.693259e-06  0.00  0.00   -2.690708              -7.852290e+00         -100.00
8.000000      10.000000      1.573337e-06  0.00  0.00   -1.979479              -7.007290e+00         -100.00
8.000000      10.477121     -4.838573e-07  0.00  0.00   0.595164               -4.093290e+00         -100.00
8.000000      11.000000     -7.882709e-07  0.00  0.00   3.565026               -6.092896e-01         -100.00
9.000000      7.000000       7.480563e-06  0.00  0.00   -2.383000              -7.994290e+00         -100.00
9.000000      8.000000       7.480563e-06  0.00  0.00   -2.384000              -7.995290e+00         -100.00
9.000000      8.301030       7.480563e-06  0.00  0.00   -2.405000              -8.017290e+00         -100.00
9.000000      8.602060       7.480563e-06  0.00  0.00   -2.468000              -8.085290e+00         -100.00
9.000000      8.845098       7.477358e-06  0.00  0.00   -2.512000              -8.124290e+00         -100.00
9.000000      9.000000       7.474154e-06  0.00  0.00   -2.505000              -8.084290e+00         -100.00
9.000000      9.176091       7.464541e-06  0.00  0.00   -2.403996              -7.843290e+00         -100.00
9.000000      9.301030       7.450121e-06  0.00  0.00   -2.203985              -7.469290e+00         -100.00
9.000000      9.477121       7.413271e-06  0.00  0.00   -1.780969              -6.889290e+00         -100.00
9.000000      9.698970       7.291506e-06  0.00  0.00   -1.304947              -6.347290e+00         -100.00
9.000000      10.000000      6.724335e-06  0.00  0.00   -0.724253              -5.712290e+00         -100.00
9.000000      10.477121      2.340780e-06  0.00  0.00   0.882762               -3.804290e+00         -100.00
9.000000      11.000000     -5.191052e-07  0.00  0.00   3.573025               -6.012896e-01         -100.00
10.000000     7.000000       1.699429e-05  0.00  0.00   1.009000               -4.216290e+00         -100.00
10.000000     8.000000       1.699429e-05  0.00  0.00   1.009000               -4.216290e+00         -100.00
10.000000     8.301030       1.699429e-05  0.00  0.00   1.006000               -4.221290e+00         -100.00
10.000000     8.602060       1.699429e-05  0.00  0.00   0.998000               -4.237290e+00         -100.00
10.000000     8.845098       1.699269e-05  0.00  0.00   0.994000               -4.246290e+00         -100.00
10.000000     9.000000       1.699108e-05  0.00  0.00   0.995000               -4.245290e+00         -100.00
10.000000     9.176091       1.698628e-05  0.00  0.00   1.004000               -4.233290e+00         -100.00
10.000000     9.301030       1.697987e-05  0.00  0.00   1.016000               -4.211290e+00         -100.00
10.000000     9.477121       1.696224e-05  0.00  0.00   1.050000               -4.146290e+00         -100.00
10.000000     9.698970       1.690617e-05  0.00  0.00   1.128000               -4.000290e+00         -100.00
10.000000     10.000000      1.664181e-05  0.00  0.00   1.306007               -3.705290e+00         -100.00
10.000000     10.477121      1.386203e-05  0.00  0.00   1.996148               -2.671290e+00         -100.00
10.000000     11.000000      2.164541e-06  0.00  0.00   3.655022               -5.182896e-01         -100.00
11.000000     7.000000       3.752778e-05  0.00  0.00   3.400000               -1.257290e+00         -100.00
11.000000     8.000000       3.752778e-05  0.00  0.00   3.400000               -1.257290e+00         -100.00
11.000000     8.301030       3.752778e-05  0.00  0.00   3.400000               -1.257290e+00         -100.00
11.000000     8.602060       3.752778e-05  0.00  0.00   3.399000               -1.259290e+00         -100.00
11.000000     8.845098       3.752618e-05  0.00  0.00   3.400000               -1.259290e+00         -100.00
11.000000     9.000000       3.752618e-05  0.00  0.00   3.401000               -1.258290e+00         -100.00
11.000000     9.176091       3.752298e-05  0.00  0.00   3.404000               -1.254290e+00         -100.00
11.000000     9.301030       3.752137e-05  0.00  0.00   3.407000               -1.250290e+00         -100.00
11.000000     9.477121       3.751176e-05  0.00  0.00   3.415000               -1.240290e+00         -100.00
11.000000     9.698970       3.748613e-05  0.00  0.00   3.430000               -1.218290e+00         -100.00
11.000000     10.000000      3.736436e-05  0.00  0.00   3.461000               -1.170290e+00         -100.00
11.000000     10.477121      3.605538e-05  0.00  0.00   3.621004               -8.982896e-01         -100.00
11.000000     11.000000      2.244810e-05  0.00  0.00   4.264007               1.037104e-01          -100.00
