!46ti -> 46sc, e- capture
!Q=2.878 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -71.818000             -7.888129e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -41.511000             -4.825929e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -27.603991             -3.408829e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -20.736724             -2.702529e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -14.954087             -2.098129e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -11.800419             -1.765129e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -8.339171              -1.397529e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -5.177877              -1.057629e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.200144              -7.272290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.006976               -3.614290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   3.797058               -3.642896e-01         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -70.817000             -7.788129e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -40.511000             -4.725929e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -27.189997             -3.367529e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -20.714738             -2.700329e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -14.953091             -2.098029e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -11.799427             -1.765129e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -8.339171              -1.397529e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -5.177877              -1.057629e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.200144              -7.272290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.006976               -3.614290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   3.797058               -3.642896e-01         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -69.812000             -7.687529e+01         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -39.509000             -4.625729e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -26.242000             -3.272629e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -20.508837             -2.679729e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -14.938156             -2.096529e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -11.796452             -1.764829e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -8.338186              -1.397429e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -5.177877              -1.057629e+01         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -2.200144              -7.272290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   1.006976               -3.614290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   3.797058               -3.642896e-01         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -68.757000             -7.582029e+01         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -38.491000             -4.523929e+01         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -25.236000             -3.172029e+01         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -19.687975             -2.597629e+01         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -14.797666             -2.082429e+01         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -11.765695             -1.761629e+01         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -8.333264              -1.396929e+01         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -5.176923              -1.057529e+01         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -2.200144              -7.272290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   1.006976               -3.614290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   3.797058               -3.642896e-01         -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -67.254000             -7.431829e+01         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -37.320000             -4.406829e+01         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -24.170000             -3.065529e+01         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   -18.658998             -2.494929e+01         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   -14.068751             -2.009629e+01         -100.00
