!46ti -> 46v, beta-decay
!Q=6.5404 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -89.811000             -9.658729e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -51.233000             -5.776329e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -36.578000             -4.294929e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -25.041993             -3.123229e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -19.153973             -2.521329e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -13.077870             -1.895029e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -7.907971              -1.353229e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -3.679066              -8.947290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   -0.154833              -4.860290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   2.533020               -1.626290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -90.811000             -9.758729e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -51.647000             -5.817629e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -36.599000             -4.297129e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -25.043993             -3.123429e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -19.153973             -2.521329e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -13.077870             -1.895029e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -7.907971              -1.353229e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -3.679066              -8.947290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   -0.154833              -4.860290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   2.533020               -1.626290e+00         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -91.813000             -9.858929e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -52.595000             -5.912429e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -36.805999             -4.317729e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -25.057992             -3.124829e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -19.156973             -2.521729e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -13.078870             -1.895029e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -7.907971              -1.353229e+01         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -3.679066              -8.947290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   -0.154833              -4.860290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   2.533020               -1.626290e+00         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -92.831000             -9.960629e+01         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -53.600998             -6.013029e+01         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -37.626995             -4.399929e+01         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -25.199990             -3.139029e+01         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -19.188971             -2.524829e+01         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -13.083868             -1.895629e+01         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -7.908969              -1.353329e+01         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -3.679066              -8.947290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   -0.154833              -4.860290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   2.533020               -1.626290e+00         -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -94.001999             -1.007773e+02         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -54.666978             -6.119729e+01         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   -38.658952             -4.503029e+01         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   -25.933946             -3.212329e+01         -100.00
