!46v -> 46ti, e- capture
!Q=-6.5404 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -5.430000              8.198047e-06   0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -5.924000              8.198047e-06   0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -6.066000              8.198047e-06   0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -6.198000              8.198047e-06   0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -5.651000              8.198047e-06   0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -4.384000              8.198047e-06   0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -3.262000              8.066969e-06   0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -2.646000              7.563284e-06   0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -1.990000              5.750563e-06   0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -1.310000              4.061724e-06   0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -0.243000              1.058548e-05   0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.876000               1.865136e-03   0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.441000               1.980206e+00   0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -4.451000              8.198047e-06   0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -4.924000              8.198047e-06   0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -5.066000              8.198047e-06   0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -5.198000              8.198047e-06   0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -5.238000              8.198047e-06   0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -4.363000              8.198047e-06   0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -3.260000              8.066969e-06   0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -2.645000              7.563284e-06   0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -1.990000              5.750563e-06   0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -1.310000              4.061724e-06   0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -0.243000              1.058548e-05   0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.876000               1.865136e-03   0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.441000               1.980206e+00   0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -3.581000              8.198047e-06   0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -3.931000              8.198047e-06   0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -4.069000              8.198047e-06   0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -4.199000              8.198047e-06   0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -4.291000              8.198047e-06   0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -4.157000              8.198047e-06   0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -3.246000              8.066969e-06   0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -2.642000              7.563284e-06   0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -1.990000              5.750563e-06   0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -1.310000              4.061724e-06   0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -0.243000              1.058548e-05   0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   1.876000               1.865136e-03   0.00  
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.441000               1.980206e+00   0.00  
4.000000      7.000000       1.922612e-08  0.00  0.00   -2.873000              8.216945e-06   0.00  
4.000000      8.000000       8.010883e-09  0.00  0.00   -2.984000              8.216945e-06   0.00  
4.000000      8.301030      -2.082830e-08  0.00  0.00   -3.088000              8.198047e-06   0.00  
4.000000      8.602060      -1.073458e-07  0.00  0.00   -3.205000              8.198047e-06   0.00  
4.000000      8.845098      -2.787787e-07  0.00  0.00   -3.294000              8.198047e-06   0.00  
4.000000      9.000000      -4.838573e-07  0.00  0.00   -3.339000              8.198047e-06   0.00  
4.000000      9.176091      -7.434100e-07  0.00  0.00   -3.105000              8.066969e-06   0.00  
4.000000      9.301030      -7.962818e-07  0.00  0.00   -2.611000              7.563284e-06   0.00  
4.000000      9.477121      -8.123036e-07  0.00  0.00   -1.985000              5.750563e-06   0.00  
4.000000      9.698970      -8.171101e-07  0.00  0.00   -1.309000              4.061724e-06   0.00  
4.000000      10.000000     -8.187123e-07  0.00  0.00   -0.243000              1.058548e-05   0.00  
4.000000      10.477121     -8.187123e-07  0.00  0.00   1.876000               1.865136e-03   0.00  
4.000000      11.000000     -8.187123e-07  0.00  0.00   4.441000               1.980206e+00   0.00  
5.000000      7.000000       8.491536e-08  0.00  0.00   -2.172000              8.273902e-06   0.00  
5.000000      8.000000       8.331318e-08  0.00  0.00   -2.179000              8.273902e-06   0.00  
5.000000      8.301030       7.530230e-08  0.00  0.00   -2.201000              8.273902e-06   0.00  
5.000000      8.602060       4.165659e-08  0.00  0.00   -2.252000              8.254873e-06   0.00  
5.000000      8.845098      -4.165659e-08  0.00  0.00   -2.312000              8.254873e-06   0.00  
5.000000      9.000000      -1.570133e-07  0.00  0.00   -2.351000              8.235887e-06   0.00  
5.000000      9.176091      -3.941355e-07  0.00  0.00   -2.389000              8.104205e-06   0.00  
5.000000      9.301030      -6.136337e-07  0.00  0.00   -2.329000              7.598194e-06   0.00  
5.000000      9.477121      -7.626361e-07  0.00  0.00   -1.933000              5.763820e-06   0.00  
5.000000      9.698970      -8.042927e-07  0.00  0.00   -1.301000              4.080472e-06   0.00  
5.000000      10.000000     -8.155079e-07  0.00  0.00   -0.242000              1.060988e-05   0.00  
5.000000      10.477121     -8.187123e-07  0.00  0.00   1.876000               1.865136e-03   0.00  
