!48ti -> 48v, beta-decay
!Q=3.5013 MeV
!
!rhoY         temp           mu            dQ    VS     beta-decay-rate   nu-energy-loss   gamma-energy
!g/cm^3       K              1/s           erg   erg    1/s               erg/s            erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   1.832314e-59      3.553942e-62     0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   6.053409e-37      1.576560e-39     0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   8.413951e-28      7.442355e-31     0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   2.546830e-20      1.090713e-23     0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   3.451437e-16      7.107394e-20     0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   1.199499e-11      8.804615e-16     0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   1.339677e-07      4.204462e-12     0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   3.111716e-04      9.543560e-09     0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   3.040885e-02      2.551000e-05     0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   1.116863e-01      3.017939e-02     0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+02  4.000000e+08  -3.636941e-07  0.00  0.00   1.832314e-59      3.553942e-63     0.00  
1.000000e+02  7.000000e+08  -7.145708e-07  0.00  0.00   6.053409e-37      6.091306e-40     0.00  
1.000000e+02  1.000000e+09  -8.107014e-07  0.00  0.00   8.413951e-28      7.074739e-31     0.00  
1.000000e+02  1.500000e+09  -8.187123e-07  0.00  0.00   2.546830e-20      1.088204e-23     0.00  
1.000000e+02  2.000000e+09  -8.187123e-07  0.00  0.00   3.451437e-16      7.107394e-20     0.00  
1.000000e+02  3.000000e+09  -8.187123e-07  0.00  0.00   1.199499e-11      8.804615e-16     0.00  
1.000000e+02  5.000000e+09  -8.187123e-07  0.00  0.00   1.339677e-07      4.204462e-12     0.00  
1.000000e+02  1.000000e+10  -8.187123e-07  0.00  0.00   3.111716e-04      9.543560e-09     0.00  
1.000000e+02  3.000000e+10  -8.187123e-07  0.00  0.00   3.040885e-02      2.551000e-05     0.00  
1.000000e+02  1.000000e+11  -8.187123e-07  0.00  0.00   1.116863e-01      3.017939e-02     0.00  
1.000000e+03  1.000000e+07   3.204353e-09  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+03  1.000000e+08  -2.883918e-08  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+03  2.000000e+08  -8.811971e-08  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+03  4.000000e+08  -2.355200e-07  0.00  0.00   1.823896e-59      3.570347e-64     0.00  
1.000000e+03  7.000000e+08  -5.030835e-07  0.00  0.00   6.039486e-37      6.866104e-41     0.00  
1.000000e+03  1.000000e+09  -7.450121e-07  0.00  0.00   8.413951e-28      4.402612e-31     0.00  
1.000000e+03  1.500000e+09  -8.107014e-07  0.00  0.00   2.546830e-20      1.051261e-23     0.00  
1.000000e+03  2.000000e+09  -8.171101e-07  0.00  0.00   3.451437e-16      7.058467e-20     0.00  
1.000000e+03  3.000000e+09  -8.187123e-07  0.00  0.00   1.199499e-11      8.784365e-16     0.00  
1.000000e+03  5.000000e+09  -8.187123e-07  0.00  0.00   1.339677e-07      4.204462e-12     0.00  
1.000000e+03  1.000000e+10  -8.187123e-07  0.00  0.00   3.111716e-04      9.543560e-09     0.00  
1.000000e+03  3.000000e+10  -8.187123e-07  0.00  0.00   3.040885e-02      2.551000e-05     0.00  
1.000000e+03  1.000000e+11  -8.187123e-07  0.00  0.00   1.116863e-01      3.017939e-02     0.00  
