!48v -> 48ti, e- capture
!Q=-3.5013 MeV
!
!rhoY         temp          mu             dQ    Vs     e-cap-rate        nu-energy-loss gamma-energy
!g/cm^3       K             1/s            erg   erg    1/s               erg/s          erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   8.749838e-10      1.594815e-13   0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   2.890680e-10      1.583837e-13   0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   2.157744e-10      1.583837e-13   0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   1.737801e-10      3.896820e-13   0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   8.336812e-10      2.419415e-11   0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   2.910717e-08      1.697112e-10   0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   1.016249e-06      7.476708e-10   0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   7.852356e-06      1.478122e-09   0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   7.998343e-05      2.922203e-09   0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   9.332543e-04      1.024968e-08   0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   3.054921e-02      2.882109e-07   0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   1.757924e+01      3.521360e-04   0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   1.210598e+04      8.141612e-01   0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   8.336812e-09      1.724687e-13   0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   2.884032e-09      1.628210e-13   0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   2.157744e-09      1.617001e-13   0.00  
1.000000e+02  4.000000e+08  -3.636941e-07  0.00  0.00   1.737801e-09      3.923832e-13   0.00  
1.000000e+02  7.000000e+08  -7.145708e-07  0.00  0.00   2.157744e-09      2.419415e-11   0.00  
1.000000e+02  1.000000e+09  -8.107014e-07  0.00  0.00   3.061963e-08      1.697112e-10   0.00  
1.000000e+02  1.500000e+09  -8.187123e-07  0.00  0.00   1.020939e-06      7.476708e-10   0.00  
1.000000e+02  2.000000e+09  -8.187123e-07  0.00  0.00   7.852356e-06      1.478122e-09   0.00  
1.000000e+02  3.000000e+09  -8.187123e-07  0.00  0.00   7.998343e-05      2.922203e-09   0.00  
1.000000e+02  5.000000e+09  -8.187123e-07  0.00  0.00   9.332543e-04      1.024968e-08   0.00  
1.000000e+02  1.000000e+10  -8.187123e-07  0.00  0.00   3.054921e-02      2.882109e-07   0.00  
1.000000e+02  3.000000e+10  -8.187123e-07  0.00  0.00   1.757924e+01      3.521360e-04   0.00  
1.000000e+02  1.000000e+11  -8.187123e-07  0.00  0.00   1.210598e+04      8.141612e-01   0.00  
1.000000e+03  1.000000e+07   3.204353e-09  0.00  0.00   6.194411e-08      2.652836e-13   0.00  
1.000000e+03  1.000000e+08  -2.883918e-08  0.00  0.00   2.844461e-08      2.068761e-13   0.00  
1.000000e+03  2.000000e+08  -8.811971e-08  0.00  0.00   2.147830e-08      1.944063e-13   0.00  
1.000000e+03  4.000000e+08  -2.355200e-07  0.00  0.00   1.737801e-08      4.185144e-13   0.00  
1.000000e+03  7.000000e+08  -5.030835e-07  0.00  0.00   1.909853e-08      2.424992e-11   0.00  
1.000000e+03  1.000000e+09  -7.450121e-07  0.00  0.00   4.920395e-08      1.697112e-10   0.00  
1.000000e+03  1.500000e+09  -8.107014e-07  0.00  0.00   1.054387e-06      7.476708e-10   0.00  
1.000000e+03  2.000000e+09  -8.171101e-07  0.00  0.00   7.906786e-06      1.478122e-09   0.00  
1.000000e+03  3.000000e+09  -8.187123e-07  0.00  0.00   8.016781e-05      2.928939e-09   0.00  
1.000000e+03  5.000000e+09  -8.187123e-07  0.00  0.00   9.354057e-04      1.024968e-08   0.00  
1.000000e+03  1.000000e+10  -8.187123e-07  0.00  0.00   3.054921e-02      2.882109e-07   0.00  
1.000000e+03  3.000000e+10  -8.187123e-07  0.00  0.00   1.757924e+01      3.521360e-04   0.00  
1.000000e+03  1.000000e+11  -8.187123e-07  0.00  0.00   1.210598e+04      8.141612e-01   0.00  
1.000000e+04  1.000000e+07   1.922612e-08  0.00  0.00   3.213661e-07      7.107394e-13   0.00  
1.000000e+04  1.000000e+08   8.010883e-09  0.00  0.00   2.535129e-07      5.925301e-13   0.00  
1.000000e+04  2.000000e+08  -2.082830e-08  0.00  0.00   2.065380e-07      5.089913e-13   0.00  
1.000000e+04  4.000000e+08  -1.073458e-07  0.00  0.00   1.717908e-07      6.771898e-13   0.00  
1.000000e+04  7.000000e+08  -2.787787e-07  0.00  0.00   1.905461e-07      2.464395e-11   0.00  
1.000000e+04  1.000000e+09  -4.838573e-07  0.00  0.00   3.235937e-07      1.708875e-10   0.00  
1.000000e+04  1.500000e+09  -7.434100e-07  0.00  0.00   1.458814e-06      7.511218e-10   0.00  
1.000000e+04  2.000000e+09  -7.962818e-07  0.00  0.00   8.491805e-06      1.481530e-09   0.00  
1.000000e+04  3.000000e+09  -8.123036e-07  0.00  0.00   8.109611e-05      2.928939e-09   0.00  
1.000000e+04  5.000000e+09  -8.171101e-07  0.00  0.00   9.354057e-04      1.027331e-08   0.00  
1.000000e+04  1.000000e+10  -8.187123e-07  0.00  0.00   3.054921e-02      2.882109e-07   0.00  
1.000000e+04  3.000000e+10  -8.187123e-07  0.00  0.00   1.757924e+01      3.521360e-04   0.00  
1.000000e+04  1.000000e+11  -8.187123e-07  0.00  0.00   1.210598e+04      8.141612e-01   0.00  
1.000000e+05  1.000000e+07   8.491536e-08  0.00  0.00   1.745822e-06      3.102490e-12   0.00  
1.000000e+05  1.000000e+08   8.331318e-08  0.00  0.00   1.729816e-06      3.066976e-12   0.00  
1.000000e+05  2.000000e+08   7.530230e-08  0.00  0.00   1.682674e-06      2.976531e-12   0.00  
1.000000e+05  4.000000e+08   4.165659e-08  0.00  0.00   1.606941e-06      3.059922e-12   0.00  
1.000000e+05  7.000000e+08  -4.165659e-08  0.00  0.00   1.874995e-06      2.842565e-11   0.00  
1.000000e+05  1.000000e+09  -1.570133e-07  0.00  0.00   3.191538e-06      1.818488e-10   0.00  
1.000000e+05  1.500000e+09  -3.941355e-07  0.00  0.00   7.620790e-06      7.829074e-10   0.00  
1.000000e+05  2.000000e+09  -6.136337e-07  0.00  0.00   1.629296e-05      1.530067e-09   0.00  
1.000000e+05  3.000000e+09  -7.626361e-07  0.00  0.00   9.141132e-05      2.997163e-09   0.00  
1.000000e+05  5.000000e+09  -8.042927e-07  0.00  0.00   9.527962e-04      1.039227e-08   0.00  
1.000000e+05  1.000000e+10  -8.155079e-07  0.00  0.00   3.061963e-02      2.882109e-07   0.00  
