!49cr -> 49mn, beta-decay
!Q=7.204 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -98.242327             -1.050263e+02         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -56.089000             -6.261829e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -39.998998             -4.637029e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -27.347983             -3.353729e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -20.902943             -2.696129e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -14.286695             -2.015829e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -8.713684              -1.434029e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -4.077822              -9.354290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   -0.032002              -4.762290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   2.885054               -1.299290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -99.178767             -1.057943e+02         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -56.502000             -6.303129e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -40.020998             -4.639229e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -27.348983             -3.353829e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -20.903942             -2.696229e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -14.286695             -2.015829e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -8.713684              -1.434029e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -4.077822              -9.354290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   -0.032002              -4.762290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   2.885054               -1.299290e+00         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -57.449996             -6.397929e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -40.226996             -4.659829e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -27.363982             -3.355329e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -20.906942             -2.696529e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -14.287694             -2.015829e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -8.713684              -1.434029e+01         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -4.077822              -9.354290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   -0.032002              -4.762290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   2.885054               -1.299290e+00         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -58.455957             -6.498629e+01         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -41.048975             -4.742029e+01         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -27.505976             -3.369529e+01         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -20.937938             -2.699629e+01         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -14.292691             -2.016429e+01         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -8.714681              -1.434129e+01         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -4.077822              -9.354290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   -0.032002              -4.762290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   2.885054               -1.299290e+00         -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -59.522595             -6.605229e+01         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   -42.079764             -4.845129e+01         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   -28.238874             -3.442829e+01         -100.00
