!49cr -> 49v, e- capture
!Q=-2.12 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -7.372000              3.425393e-10   0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -7.864000              3.425393e-10   0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -8.005000              3.425393e-10   0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -8.134000              3.425393e-10   0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -7.579000              3.489076e-10   0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -6.303000              3.678836e-10   0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -5.154000              4.352216e-10   0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -4.488000              5.898076e-10   0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -3.662000              1.580194e-09   0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -2.668000              1.317378e-08   0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -1.141000              6.617751e-07   0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.538000               7.459512e-04   0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.277000               1.293333e+00   0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -6.392000              3.441204e-10   0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -6.865000              3.425393e-10   0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -7.006000              3.425393e-10   0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -7.134000              3.425393e-10   0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -7.166000              3.489076e-10   0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -6.281000              3.678836e-10   0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -5.153000              4.352216e-10   0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -4.488000              5.898076e-10   0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -3.662000              1.580194e-09   0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -2.668000              1.317378e-08   0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -1.141000              6.617751e-07   0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.538000               7.459512e-04   0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.277000               1.293333e+00   0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -5.523000              3.545769e-10   0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -5.871000              3.473045e-10   0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -6.008000              3.465057e-10   0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -6.134000              3.457088e-10   0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -6.219000              3.513261e-10   0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -6.075000              3.695816e-10   0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -5.139000              4.362248e-10   0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -4.484000              5.898076e-10   0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -3.662000              1.583837e-09   0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -2.667000              1.317378e-08   0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -1.141000              6.617751e-07   0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   1.538000               7.459512e-04   0.00  
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.277000               1.293333e+00   0.00  
4.000000      7.000000       1.922612e-08  0.00  0.00   -4.814000              4.033763e-10   0.00  
4.000000      8.000000       8.010883e-09  0.00  0.00   -4.924000              3.896820e-10   0.00  
4.000000      8.301030      -2.082830e-08  0.00  0.00   -5.027000              3.799360e-10   0.00  
4.000000      8.602060      -1.073458e-07  0.00  0.00   -5.140000              3.721435e-10   0.00  
4.000000      8.845098      -2.787787e-07  0.00  0.00   -5.222000              3.738612e-10   0.00  
4.000000      9.000000      -4.838573e-07  0.00  0.00   -5.258000              3.887858e-10   0.00  
4.000000      9.176091      -7.434100e-07  0.00  0.00   -4.998000              4.484462e-10   0.00  
4.000000      9.301030      -7.962818e-07  0.00  0.00   -4.453000              6.021579e-10   0.00  
4.000000      9.477121      -8.123036e-07  0.00  0.00   -3.656000              1.594815e-09   0.00  
4.000000      9.698970      -8.171101e-07  0.00  0.00   -2.667000              1.320415e-08   0.00  
4.000000      10.000000     -8.187123e-07  0.00  0.00   -1.141000              6.617751e-07   0.00  
4.000000      10.477121     -8.187123e-07  0.00  0.00   1.538000               7.459512e-04   0.00  
4.000000      11.000000     -8.187123e-07  0.00  0.00   4.277000               1.293333e+00   0.00  
5.000000      7.000000       8.491536e-08  0.00  0.00   -4.110000              6.557079e-10   0.00  
5.000000      8.000000       8.331318e-08  0.00  0.00   -4.117000              6.511940e-10   0.00  
5.000000      8.301030       7.530230e-08  0.00  0.00   -4.137000              6.378380e-10   0.00  
5.000000      8.602060       4.165659e-08  0.00  0.00   -4.185000              6.091306e-10   0.00  
5.000000      8.845098      -4.165659e-08  0.00  0.00   -4.238000              5.884511e-10   0.00  
5.000000      9.000000      -1.570133e-07  0.00  0.00   -4.268000              5.938960e-10   0.00  
5.000000      9.176091      -3.941355e-07  0.00  0.00   -4.281000              6.349074e-10   0.00  
5.000000      9.301030      -6.136337e-07  0.00  0.00   -4.171000              7.493943e-10   0.00  
5.000000      9.477121      -7.626361e-07  0.00  0.00   -3.605000              1.732648e-09   0.00  
5.000000      9.698970      -8.042927e-07  0.00  0.00   -2.659000              1.341870e-08   0.00  
5.000000      10.000000     -8.155079e-07  0.00  0.00   -1.140000              6.633006e-07   0.00  
5.000000      10.477121     -8.187123e-07  0.00  0.00   1.538000               7.459512e-04   0.00  
5.000000      11.000000     -8.187123e-07  0.00  0.00   4.277000               1.293333e+00   0.00  
6.000000      7.000000       3.444680e-07  0.00  0.00   -3.300000              2.441802e-09   0.00  
6.000000      8.000000       3.428658e-07  0.00  0.00   -3.300000              2.441802e-09   0.00  
6.000000      8.301030       3.412636e-07  0.00  0.00   -3.300000              2.441802e-09   0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -3.301000              2.447431e-09   0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -3.303000              2.464395e-09   0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -3.304000              2.510212e-09   0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -3.300000              2.634574e-09   0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -3.285000              2.822997e-09   0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -3.185000              3.721435e-09   0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -2.579000              1.591147e-08   0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -1.131000              6.756323e-07   0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   1.538000               7.459512e-04   0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   4.277000               1.293333e+00   0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -2.297000              2.380731e-08   0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -2.297000              2.380731e-08   0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -2.297000              2.386220e-08   0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -2.296000              2.397234e-08   0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -2.291000              2.424992e-08   0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -2.285000              2.481478e-08   0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -2.269000              2.610420e-08   0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -2.249000              2.790682e-08   0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   -2.193000              3.309104e-08   0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   -2.014000              5.593845e-08   0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   -1.045000              8.122887e-07   0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   1.541000               7.511218e-04   0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   4.277000               1.293333e+00   0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   -1.029000              5.172618e-07   0.00  
8.000000      8.000000       3.101814e-06  0.00  0.00   -1.029000              5.172618e-07   0.00  
8.000000      8.301030       3.100212e-06  0.00  0.00   -1.029000              5.172618e-07   0.00  
8.000000      8.602060       3.098610e-06  0.00  0.00   -1.028000              5.184542e-07   0.00  
8.000000      8.845098       3.093803e-06  0.00  0.00   -1.025000              5.220479e-07   0.00  
8.000000      9.000000       3.085792e-06  0.00  0.00   -1.021000              5.280930e-07   0.00  
8.000000      9.176091       3.064964e-06  0.00  0.00   -1.011000              5.441397e-07   0.00  
8.000000      9.301030       3.036125e-06  0.00  0.00   -0.998000              5.645604e-07   0.00  
8.000000      9.477121       2.954414e-06  0.00  0.00   -0.962000              6.261962e-07   0.00  
