!49sc -> 49ca, e- capture
!Q=5.773 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -76.983000             -8.374829e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -47.568000             -5.407929e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -34.650000             -4.098929e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -24.345000             -3.046929e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -19.023000             -2.498229e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -13.428000             -1.915629e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -8.489000              -1.395029e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -3.961000              -9.067290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.624000               -4.005290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   3.717000               -4.392896e-01         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -75.982000             -8.274829e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -47.155000             -5.366629e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -34.628000             -4.096729e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -24.344000             -3.046829e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -19.023000             -2.498229e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -13.428000             -1.915629e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -8.489000              -1.395029e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -3.961000              -9.067290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.624000               -4.005290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   3.717000               -4.392896e-01         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
