!49v -> 49cr, beta-decay
!Q=2.12 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -70.882000             -7.795629e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -36.352999             -4.311829e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -21.670994             -2.818329e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -16.568923             -2.291729e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -12.436484             -1.859429e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -10.221723             -1.624029e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -7.782696              -1.359229e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -5.424460              -1.095929e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.913399              -8.094290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.179004               -4.510290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   2.900060               -1.270290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -71.882998             -7.895629e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -37.352987             -4.411829e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -22.083986             -2.859629e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -16.590919             -2.293929e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -12.437483             -1.859529e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -10.221723             -1.624029e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -7.782696              -1.359229e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -5.424460              -1.095929e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.913399              -8.094290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.179004               -4.510290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   2.900060               -1.270290e+00         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -72.887980             -7.996229e+01         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -38.354868             -4.512029e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -23.031874             -2.954429e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -16.796869             -2.314529e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -12.452465             -1.861029e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -10.224714             -1.624329e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -7.782696              -1.359229e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -5.424460              -1.095929e+01         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -2.913399              -8.094290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.179004               -4.510290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   2.900060               -1.270290e+00         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -73.942787             -8.101629e+01         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -39.370687             -4.613629e+01         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -24.036749             -3.054929e+01         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -17.618142             -2.396629e+01         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -12.593261             -1.875129e+01         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -10.256619             -1.627529e+01         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -7.788623              -1.359729e+01         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -5.425388              -1.096029e+01         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -2.913399              -8.094290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   0.179004               -4.510290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   2.900060               -1.270290e+00         -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -75.442403             -8.251329e+01         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -40.530166             -4.729429e+01         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -25.092173             -3.160629e+01         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   -18.641877             -2.499229e+01         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   -13.324234             -1.948329e+01         -100.00
