!50ti -> 50sc, e- capture
!Q=7.399 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -95.948000             1.935131e-103  0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -57.741000             5.619665e-65   0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -41.284000             2.358905e-48   0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -28.203000             4.422933e-35   0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -21.495000             3.131197e-28   0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -14.546000             4.536390e-21   0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -8.611000              7.425238e-15   0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -3.687000              1.544224e-09   0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.792000               1.464571e-04   0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   3.928000               5.980127e-01   0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -94.948000             1.935131e-102  0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -57.328000             1.454489e-64   0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -41.262000             2.481478e-48   0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -28.202000             4.433129e-35   0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -21.494000             3.138415e-28   0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -14.546000             4.536390e-21   0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -8.611000              7.425238e-15   0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -3.687000              1.544224e-09   0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.792000               1.464571e-04   0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   3.928000               5.980127e-01   0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -93.946000             1.944063e-101  0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -56.380000             1.290359e-63   0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -41.056000             3.987589e-48   0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -28.188000             4.588919e-35   0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -21.491000             3.160170e-28   0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -14.545000             4.536390e-21   0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -8.611000              7.425238e-15   0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -3.687000              1.544224e-09   0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.792000               1.464571e-04   0.00  
