!50v -> 50ti, e- capture
!Q=-1.697 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -27.443000             -3.342229e+01         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -27.836999             -3.376829e+01         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -19.650747             -2.543029e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -13.240916             -1.901729e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -9.639516              -1.541329e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -8.155778              -1.391529e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -6.837428              -1.255529e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -6.071589              -1.174929e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -5.196274              -1.076429e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -4.130548              -9.459290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.257834              -7.373290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.002609               -3.712290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.014020               -1.662896e-01         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -26.464000             -3.244329e+01         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -26.838000             -3.276929e+01         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -18.654573             -2.443429e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -13.197651             -1.897329e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -9.638749              -1.541229e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -8.155663              -1.391529e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -6.837406              -1.255429e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -6.071589              -1.174929e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -5.196274              -1.076429e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -4.130548              -9.459290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.257834              -7.373290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.002609               -3.712290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.014020               -1.662896e-01         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -25.594000             -3.157229e+01         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -25.844000             -3.177529e+01         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -17.656957             -2.343729e+01         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -12.908021             -1.867929e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -9.629028              -1.540129e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -8.154251              -1.391329e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -6.837096              -1.255429e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -6.071418              -1.174929e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -5.196061              -1.076429e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -4.130548              -9.459290e+00         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -2.257834              -7.373290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   1.002609               -3.712290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.014020               -1.662896e-01         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -24.880000             -3.085629e+01         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -24.895000             -3.082429e+01         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -16.675996             -2.245529e+01         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -12.145130             -1.791229e+01         -100.00
