!51cr -> 51mn, beta-decay
!Q=2.696 MeV
!
!rhoY         temp           mu            dQ    VS     beta-decay-rate   nu-energy-loss   gamma-energy
!g/cm^3       K              1/s           erg   erg    1/s               erg/s            erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   7.852356e-92      1.123855e-93     0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   7.063176e-50      1.454489e-51     0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   1.584893e-31      1.839545e-33     0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   5.741165e-24      6.756323e-27     0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   7.481695e-18      1.551352e-21     0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   1.383566e-14      1.187710e-18     0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   6.792036e-11      1.886733e-15     0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   2.037042e-07      2.580539e-12     0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   1.674943e-04      4.642056e-09     0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   2.013724e-02      2.922203e-05     0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   1.559553e-01      5.710977e-02     0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   7.852356e-92      1.121270e-94     0.00  
1.000000e+02  4.000000e+08  -3.636941e-07  0.00  0.00   7.063176e-50      1.454489e-52     0.00  
1.000000e+02  7.000000e+08  -7.145708e-07  0.00  0.00   1.584893e-31      7.091047e-34     0.00  
1.000000e+02  1.000000e+09  -8.107014e-07  0.00  0.00   5.741165e-24      6.422593e-27     0.00  
1.000000e+02  1.500000e+09  -8.187123e-07  0.00  0.00   7.481695e-18      1.544224e-21     0.00  
1.000000e+02  2.000000e+09  -8.187123e-07  0.00  0.00   1.383566e-14      1.187710e-18     0.00  
1.000000e+02  3.000000e+09  -8.187123e-07  0.00  0.00   6.792036e-11      1.886733e-15     0.00  
1.000000e+02  5.000000e+09  -8.187123e-07  0.00  0.00   2.037042e-07      2.580539e-12     0.00  
1.000000e+02  1.000000e+10  -8.187123e-07  0.00  0.00   1.674943e-04      4.642056e-09     0.00  
1.000000e+02  3.000000e+10  -8.187123e-07  0.00  0.00   2.013724e-02      2.922203e-05     0.00  
1.000000e+02  1.000000e+11  -8.187123e-07  0.00  0.00   1.559553e-01      5.710977e-02     0.00  
1.000000e+03  1.000000e+07   3.204353e-09  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+03  1.000000e+08  -2.883918e-08  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+03  2.000000e+08  -8.811971e-08  0.00  0.00   7.744618e-92      1.108435e-95     0.00  
1.000000e+03  4.000000e+08  -2.355200e-07  0.00  0.00   7.014553e-50      1.451144e-53     0.00  
1.000000e+03  7.000000e+08  -5.030835e-07  0.00  0.00   1.581248e-31      7.993011e-35     0.00  
1.000000e+03  1.000000e+09  -7.450121e-07  0.00  0.00   5.727960e-24      3.996781e-27     0.00  
1.000000e+03  1.500000e+09  -8.107014e-07  0.00  0.00   7.481695e-18      1.495238e-21     0.00  
1.000000e+03  2.000000e+09  -8.171101e-07  0.00  0.00   1.383566e-14      1.179534e-18     0.00  
1.000000e+03  3.000000e+09  -8.187123e-07  0.00  0.00   6.792036e-11      1.882393e-15     0.00  
1.000000e+03  5.000000e+09  -8.187123e-07  0.00  0.00   2.037042e-07      2.580539e-12     0.00  
1.000000e+03  1.000000e+10  -8.187123e-07  0.00  0.00   1.674943e-04      4.642056e-09     0.00  
1.000000e+03  3.000000e+10  -8.187123e-07  0.00  0.00   2.013724e-02      2.922203e-05     0.00  
1.000000e+03  1.000000e+11  -8.187123e-07  0.00  0.00   1.559553e-01      5.710977e-02     0.00  
